fecha,Estación,Precipitación
2010-09-02,Bella Unión - Destacamento,10mm
2010-09-02,Chajarí - Ciudad,6mm
2010-09-02,El Cerrito - Puesto Caminero,7mm
2010-09-02,Federación - Corralón Municipal,3mm
2010-09-02,Los Conquistadores,10mm
2010-09-02,Mandisoví,12mm
2010-09-02,San Jaime - Puesto Caminero,10mm
2010-09-02,San Ramón - Comisaría Nº 20,12mm
2010-09-02,Santa Ana - Comisaría,9mm
2010-09-02,Sta. María de Tatutí - Comisaría Nº 22,11mm
2010-09-10,Bella Unión - Destacamento,---mm
2010-09-10,Chajarí - Ciudad,---mm
2010-09-10,El Cerrito - Puesto Caminero,---mm
2010-09-10,Federación - Corralón Municipal,---mm
2010-09-10,Los Conquistadores,---mm
2010-09-10,Mandisoví,---mm
2010-09-10,San Jaime - Puesto Caminero,---mm
2010-09-10,San Ramón - Comisaría Nº 20,---mm
2010-09-10,Santa Ana - Comisaría,---mm
2010-09-10,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-09-11,Bella Unión - Destacamento,0mm
2010-09-11,Chajarí - Ciudad,0mm
2010-09-11,El Cerrito - Puesto Caminero,0mm
2010-09-11,Federación - Corralón Municipal,0mm
2010-09-11,Los Conquistadores,0mm
2010-09-11,Mandisoví,0mm
2010-09-11,San Jaime - Puesto Caminero,0mm
2010-09-11,San Ramón - Comisaría Nº 20,0mm
2010-09-11,Santa Ana - Comisaría,0mm
2010-09-11,Sta. María de Tatutí - Comisaría Nº 22,0mm
2010-09-13,Bella Unión - Destacamento,---mm
2010-09-13,Chajarí - Ciudad,14mm
2010-09-13,El Cerrito - Puesto Caminero,14mm
2010-09-13,Federación - Corralón Municipal,14mm
2010-09-13,Los Conquistadores,17mm
2010-09-13,Mandisoví,12mm
2010-09-13,San Jaime - Puesto Caminero,14mm
2010-09-13,San Ramón - Comisaría Nº 20,12mm
2010-09-13,Santa Ana - Comisaría,13mm
2010-09-13,Sta. María de Tatutí - Comisaría Nº 22,21mm
2010-09-21,Bella Unión - Destacamento,---mm
2010-09-21,Chajarí - Ciudad,---mm
2010-09-21,El Cerrito - Puesto Caminero,---mm
2010-09-21,Federación - Corralón Municipal,---mm
2010-09-21,Los Conquistadores,---mm
2010-09-21,Mandisoví,---mm
2010-09-21,San Jaime - Puesto Caminero,---mm
2010-09-21,San Ramón - Comisaría Nº 20,---mm
2010-09-21,Santa Ana - Comisaría,---mm
2010-09-21,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-09-22,Bella Unión - Destacamento,---mm
2010-09-22,Chajarí - Ciudad,---mm
2010-09-22,El Cerrito - Puesto Caminero,---mm
2010-09-22,Federación - Corralón Municipal,---mm
2010-09-22,Los Conquistadores,---mm
2010-09-22,Mandisoví,---mm
2010-09-22,San Jaime - Puesto Caminero,---mm
2010-09-22,San Ramón - Comisaría Nº 20,---mm
2010-09-22,Santa Ana - Comisaría,---mm
2010-09-22,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-09-27,Bella Unión - Destacamento,---mm
2010-09-27,Chajarí - Ciudad,---mm
2010-09-27,El Cerrito - Puesto Caminero,---mm
2010-09-27,Federación - Corralón Municipal,---mm
2010-09-27,Los Conquistadores,---mm
2010-09-27,Mandisoví,---mm
2010-09-27,San Jaime - Puesto Caminero,---mm
2010-09-27,San Ramón - Comisaría Nº 20,---mm
2010-09-27,Santa Ana - Comisaría,---mm
2010-09-27,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-09-28,Bella Unión - Destacamento,---mm
2010-09-28,Chajarí - Ciudad,---mm
2010-09-28,El Cerrito - Puesto Caminero,---mm
2010-09-28,Federación - Corralón Municipal,---mm
2010-09-28,Los Conquistadores,---mm
2010-09-28,Mandisoví,---mm
2010-09-28,San Jaime - Puesto Caminero,---mm
2010-09-28,San Ramón - Comisaría Nº 20,---mm
2010-09-28,Santa Ana - Comisaría,---mm
2010-09-28,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-10-01,Bella Unión - Destacamento,---mm
2010-10-01,Chajarí - Ciudad,---mm
2010-10-01,El Cerrito - Puesto Caminero,---mm
2010-10-01,Federación - Corralón Municipal,---mm
2010-10-01,Los Conquistadores,---mm
2010-10-01,Mandisoví,---mm
2010-10-01,San Jaime - Puesto Caminero,---mm
2010-10-01,San Ramón - Comisaría Nº 20,---mm
2010-10-01,Santa Ana - Comisaría,---mm
2010-10-01,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-10-06,Bella Unión - Destacamento,---mm
2010-10-06,Chajarí - Ciudad,---mm
2010-10-06,El Cerrito - Puesto Caminero,---mm
2010-10-06,Federación - Corralón Municipal,---mm
2010-10-06,Los Conquistadores,---mm
2010-10-06,Mandisoví,---mm
2010-10-06,San Jaime - Puesto Caminero,---mm
2010-10-06,San Ramón - Comisaría Nº 20,---mm
2010-10-06,Santa Ana - Comisaría,---mm
2010-10-06,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-10-14,Bella Unión - Destacamento,---mm
2010-10-14,Chajarí - Ciudad,---mm
2010-10-14,El Cerrito - Puesto Caminero,---mm
2010-10-14,Federación - Corralón Municipal,---mm
2010-10-14,Los Conquistadores,---mm
2010-10-14,Mandisoví,---mm
2010-10-14,San Jaime - Puesto Caminero,---mm
2010-10-14,San Ramón - Comisaría Nº 20,---mm
2010-10-14,Santa Ana - Comisaría,---mm
2010-10-14,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-10-22,Bella Unión - Destacamento,---mm
2010-10-22,Chajarí - Ciudad,---mm
2010-10-22,El Cerrito - Puesto Caminero,---mm
2010-10-22,Federación - Corralón Municipal,---mm
2010-10-22,Los Conquistadores,---mm
2010-10-22,Mandisoví,---mm
2010-10-22,San Jaime - Puesto Caminero,---mm
2010-10-22,San Ramón - Comisaría Nº 20,---mm
2010-10-22,Santa Ana - Comisaría,---mm
2010-10-22,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-10-29,Bella Unión - Destacamento,---mm
2010-10-29,Chajarí - Ciudad,---mm
2010-10-29,El Cerrito - Puesto Caminero,---mm
2010-10-29,Federación - Corralón Municipal,---mm
2010-10-29,Los Conquistadores,---mm
2010-10-29,Mandisoví,---mm
2010-10-29,San Jaime - Puesto Caminero,---mm
2010-10-29,San Ramón - Comisaría Nº 20,---mm
2010-10-29,Santa Ana - Comisaría,---mm
2010-10-29,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-11-04,Bella Unión - Destacamento,---mm
2010-11-04,Chajarí - Ciudad,---mm
2010-11-04,El Cerrito - Puesto Caminero,---mm
2010-11-04,Federación - Corralón Municipal,---mm
2010-11-04,Los Conquistadores,---mm
2010-11-04,Mandisoví,---mm
2010-11-04,San Jaime - Puesto Caminero,---mm
2010-11-04,San Ramón - Comisaría Nº 20,---mm
2010-11-04,Santa Ana - Comisaría,---mm
2010-11-04,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-11-08,Bella Unión - Destacamento,---mm
2010-11-08,Chajarí - Ciudad,35mm
2010-11-08,El Cerrito - Puesto Caminero,30mm
2010-11-08,Federación - Corralón Municipal,35mm
2010-11-08,Los Conquistadores,49mm
2010-11-08,Mandisoví,49mm
2010-11-08,San Jaime - Puesto Caminero,28mm
2010-11-08,San Ramón - Comisaría Nº 20,50mm
2010-11-08,Santa Ana - Comisaría,42mm
2010-11-08,Sta. María de Tatutí - Comisaría Nº 22,43mm
2010-11-19,Bella Unión - Destacamento,---mm
2010-11-19,Chajarí - Ciudad,1mm
2010-11-19,El Cerrito - Puesto Caminero,2mm
2010-11-19,Federación - Corralón Municipal,6mm
2010-11-19,Los Conquistadores,4mm
2010-11-19,Mandisoví,---mm
2010-11-19,San Jaime - Puesto Caminero,6mm
2010-11-19,San Ramón - Comisaría Nº 20,---mm
2010-11-19,Santa Ana - Comisaría,---mm
2010-11-19,Sta. María de Tatutí - Comisaría Nº 22,1mm
2010-11-24,Bella Unión - Destacamento,---mm
2010-11-24,Chajarí - Ciudad,---mm
2010-11-24,El Cerrito - Puesto Caminero,---mm
2010-11-24,Federación - Corralón Municipal,---mm
2010-11-24,Los Conquistadores,---mm
2010-11-24,Mandisoví,---mm
2010-11-24,San Jaime - Puesto Caminero,---mm
2010-11-24,San Ramón - Comisaría Nº 20,---mm
2010-11-24,Santa Ana - Comisaría,---mm
2010-11-24,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-11-27,Bella Unión - Destacamento,---mm
2010-11-27,Chajarí - Ciudad,5mm
2010-11-27,El Cerrito - Puesto Caminero,---mm
2010-11-27,Federación - Corralón Municipal,6mm
2010-11-27,Los Conquistadores,3mm
2010-11-27,Mandisoví,5mm
2010-11-27,San Jaime - Puesto Caminero,2mm
2010-11-27,San Ramón - Comisaría Nº 20,7mm
2010-11-27,Santa Ana - Comisaría,5mm
2010-11-27,Sta. María de Tatutí - Comisaría Nº 22,4mm
2010-12-02,Bella Unión - Destacamento,---mm
2010-12-02,Chajarí - Ciudad,---mm
2010-12-02,El Cerrito - Puesto Caminero,---mm
2010-12-02,Federación - Corralón Municipal,---mm
2010-12-02,Los Conquistadores,---mm
2010-12-02,Mandisoví,---mm
2010-12-02,San Jaime - Puesto Caminero,---mm
2010-12-02,San Ramón - Comisaría Nº 20,---mm
2010-12-02,Santa Ana - Comisaría,---mm
2010-12-02,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-12-04,Bella Unión - Destacamento,---mm
2010-12-04,Chajarí - Ciudad,---mm
2010-12-04,El Cerrito - Puesto Caminero,---mm
2010-12-04,Federación - Corralón Municipal,---mm
2010-12-04,Los Conquistadores,---mm
2010-12-04,Mandisoví,---mm
2010-12-04,San Jaime - Puesto Caminero,---mm
2010-12-04,San Ramón - Comisaría Nº 20,---mm
2010-12-04,Santa Ana - Comisaría,---mm
2010-12-04,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-12-10,Bella Unión - Destacamento,---mm
2010-12-10,Chajarí - Ciudad,---mm
2010-12-10,El Cerrito - Puesto Caminero,---mm
2010-12-10,Federación - Corralón Municipal,---mm
2010-12-10,Los Conquistadores,---mm
2010-12-10,Mandisoví,---mm
2010-12-10,San Jaime - Puesto Caminero,---mm
2010-12-10,San Ramón - Comisaría Nº 20,---mm
2010-12-10,Santa Ana - Comisaría,---mm
2010-12-10,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-12-11,Bella Unión - Destacamento,---mm
2010-12-11,Chajarí - Ciudad,---mm
2010-12-11,El Cerrito - Puesto Caminero,---mm
2010-12-11,Federación - Corralón Municipal,---mm
2010-12-11,Los Conquistadores,---mm
2010-12-11,Mandisoví,---mm
2010-12-11,San Jaime - Puesto Caminero,---mm
2010-12-11,San Ramón - Comisaría Nº 20,---mm
2010-12-11,Santa Ana - Comisaría,---mm
2010-12-11,Sta. María de Tatutí - Comisaría Nº 22,---mm
2010-12-12,Bella Unión - Destacamento,---mm
2010-12-12,Chajarí - Ciudad,---mm
2010-12-12,El Cerrito - Puesto Caminero,---mm
2010-12-12,Federación - Corralón Municipal,---mm
