fecha,Estación,Precipitación
2010-09-02,Banderas,6mm
2010-09-02,Chañar - Comisaría,8mm
2010-09-02,Conscripto Bernardi - Comisaría,6mm
2010-09-02,El Cimarrón - Comisaría,5mm
2010-09-02,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-09-02,Federal - Brigada Abigeato,6mm
2010-09-02,Federal - Jefatura Departamental,8mm
2010-09-02,La Calandria - Comisaría,4mm
2010-09-02,Nueva Vizcaya - Comisaría,5mm
2010-09-02,Sauce de Luna - Comisaría,6mm
2010-09-10,Banderas,15mm
2010-09-10,Chañar - Comisaría,15mm
2010-09-10,Conscripto Bernardi - Comisaría,5mm
2010-09-10,El Cimarrón - Comisaría,12mm
2010-09-10,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-09-10,Federal - Brigada Abigeato,28mm
2010-09-10,Federal - Jefatura Departamental,21mm
2010-09-10,La Calandria - Comisaría,14mm
2010-09-10,Nueva Vizcaya - Comisaría,---mm
2010-09-10,Sauce de Luna - Comisaría,11mm
2010-09-11,Banderas,0mm
2010-09-11,Chañar - Comisaría,0mm
2010-09-11,Conscripto Bernardi - Comisaría,0mm
2010-09-11,El Cimarrón - Comisaría,0mm
2010-09-11,Elias Romero - Dto. Moreyra - Comisaría,0mm
2010-09-11,Federal - Brigada Abigeato,0mm
2010-09-11,Federal - Jefatura Departamental,0mm
2010-09-11,La Calandria - Comisaría,0mm
2010-09-11,Nueva Vizcaya - Comisaría,0mm
2010-09-11,Sauce de Luna - Comisaría,0mm
2010-09-13,Banderas,2mm
2010-09-13,Chañar - Comisaría,15mm
2010-09-13,Conscripto Bernardi - Comisaría,11mm
2010-09-13,El Cimarrón - Comisaría,12mm
2010-09-13,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-09-13,Federal - Brigada Abigeato,3mm
2010-09-13,Federal - Jefatura Departamental,3mm
2010-09-13,La Calandria - Comisaría,5mm
2010-09-13,Nueva Vizcaya - Comisaría,---mm
2010-09-13,Sauce de Luna - Comisaría,5mm
2010-09-21,Banderas,---mm
2010-09-21,Chañar - Comisaría,---mm
2010-09-21,Conscripto Bernardi - Comisaría,3mm
2010-09-21,El Cimarrón - Comisaría,8mm
2010-09-21,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-09-21,Federal - Brigada Abigeato,2mm
2010-09-21,Federal - Jefatura Departamental,2mm
2010-09-21,La Calandria - Comisaría,---mm
2010-09-21,Nueva Vizcaya - Comisaría,---mm
2010-09-21,Sauce de Luna - Comisaría,4mm
2010-09-22,Banderas,---mm
2010-09-22,Chañar - Comisaría,---mm
2010-09-22,Conscripto Bernardi - Comisaría,---mm
2010-09-22,El Cimarrón - Comisaría,---mm
2010-09-22,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-09-22,Federal - Brigada Abigeato,---mm
2010-09-22,Federal - Jefatura Departamental,---mm
2010-09-22,La Calandria - Comisaría,---mm
2010-09-22,Nueva Vizcaya - Comisaría,---mm
2010-09-22,Sauce de Luna - Comisaría,---mm
2010-09-27,Banderas,---mm
2010-09-27,Chañar - Comisaría,---mm
2010-09-27,Conscripto Bernardi - Comisaría,11mm
2010-09-27,El Cimarrón - Comisaría,2mm
2010-09-27,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-09-27,Federal - Brigada Abigeato,---mm
2010-09-27,Federal - Jefatura Departamental,2mm
2010-09-27,La Calandria - Comisaría,---mm
2010-09-27,Nueva Vizcaya - Comisaría,---mm
2010-09-27,Sauce de Luna - Comisaría,12mm
2010-09-28,Banderas,---mm
2010-09-28,Chañar - Comisaría,---mm
2010-09-28,Conscripto Bernardi - Comisaría,---mm
2010-09-28,El Cimarrón - Comisaría,---mm
2010-09-28,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-09-28,Federal - Brigada Abigeato,---mm
2010-09-28,Federal - Jefatura Departamental,---mm
2010-09-28,La Calandria - Comisaría,---mm
2010-09-28,Nueva Vizcaya - Comisaría,---mm
2010-09-28,Sauce de Luna - Comisaría,---mm
2010-10-01,Banderas,---mm
2010-10-01,Chañar - Comisaría,---mm
2010-10-01,Conscripto Bernardi - Comisaría,---mm
2010-10-01,El Cimarrón - Comisaría,---mm
2010-10-01,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-10-01,Federal - Brigada Abigeato,---mm
2010-10-01,Federal - Jefatura Departamental,---mm
2010-10-01,La Calandria - Comisaría,---mm
2010-10-01,Nueva Vizcaya - Comisaría,---mm
2010-10-01,Sauce de Luna - Comisaría,---mm
2010-10-06,Banderas,---mm
2010-10-06,Chañar - Comisaría,---mm
2010-10-06,Conscripto Bernardi - Comisaría,---mm
2010-10-06,El Cimarrón - Comisaría,---mm
2010-10-06,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-10-06,Federal - Brigada Abigeato,---mm
2010-10-06,Federal - Jefatura Departamental,---mm
2010-10-06,La Calandria - Comisaría,---mm
2010-10-06,Nueva Vizcaya - Comisaría,---mm
2010-10-06,Sauce de Luna - Comisaría,---mm
2010-10-14,Banderas,---mm
2010-10-14,Chañar - Comisaría,---mm
2010-10-14,Conscripto Bernardi - Comisaría,---mm
2010-10-14,El Cimarrón - Comisaría,---mm
2010-10-14,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-10-14,Federal - Brigada Abigeato,---mm
2010-10-14,Federal - Jefatura Departamental,---mm
2010-10-14,La Calandria - Comisaría,---mm
2010-10-14,Nueva Vizcaya - Comisaría,---mm
2010-10-14,Sauce de Luna - Comisaría,---mm
2010-10-22,Banderas,---mm
2010-10-22,Chañar - Comisaría,---mm
2010-10-22,Conscripto Bernardi - Comisaría,---mm
2010-10-22,El Cimarrón - Comisaría,---mm
2010-10-22,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-10-22,Federal - Brigada Abigeato,---mm
2010-10-22,Federal - Jefatura Departamental,---mm
2010-10-22,La Calandria - Comisaría,---mm
2010-10-22,Nueva Vizcaya - Comisaría,---mm
2010-10-22,Sauce de Luna - Comisaría,---mm
2010-10-29,Banderas,16mm
2010-10-29,Chañar - Comisaría,25mm
2010-10-29,Conscripto Bernardi - Comisaría,18mm
2010-10-29,El Cimarrón - Comisaría,25mm
2010-10-29,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-10-29,Federal - Brigada Abigeato,26mm
2010-10-29,Federal - Jefatura Departamental,26mm
2010-10-29,La Calandria - Comisaría,14mm
2010-10-29,Nueva Vizcaya - Comisaría,---mm
2010-10-29,Sauce de Luna - Comisaría,33mm
2010-11-04,Banderas,---mm
2010-11-04,Chañar - Comisaría,---mm
2010-11-04,Conscripto Bernardi - Comisaría,---mm
2010-11-04,El Cimarrón - Comisaría,---mm
2010-11-04,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-11-04,Federal - Brigada Abigeato,---mm
2010-11-04,Federal - Jefatura Departamental,---mm
2010-11-04,La Calandria - Comisaría,---mm
2010-11-04,Nueva Vizcaya - Comisaría,---mm
2010-11-04,Sauce de Luna - Comisaría,---mm
2010-11-08,Banderas,25mm
2010-11-08,Chañar - Comisaría,---mm
2010-11-08,Conscripto Bernardi - Comisaría,---mm
2010-11-08,El Cimarrón - Comisaría,29mm
2010-11-08,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-11-08,Federal - Brigada Abigeato,---mm
2010-11-08,Federal - Jefatura Departamental,22mm
2010-11-08,La Calandria - Comisaría,25mm
2010-11-08,Nueva Vizcaya - Comisaría,---mm
2010-11-08,Sauce de Luna - Comisaría,30mm
2010-11-19,Banderas,5mm
2010-11-19,Chañar - Comisaría,2mm
2010-11-19,Conscripto Bernardi - Comisaría,5mm
2010-11-19,El Cimarrón - Comisaría,6mm
2010-11-19,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-11-19,Federal - Brigada Abigeato,---mm
2010-11-19,Federal - Jefatura Departamental,---mm
2010-11-19,La Calandria - Comisaría,2mm
2010-11-19,Nueva Vizcaya - Comisaría,---mm
2010-11-19,Sauce de Luna - Comisaría,4mm
2010-11-24,Banderas,---mm
2010-11-24,Chañar - Comisaría,1mm
2010-11-24,Conscripto Bernardi - Comisaría,1mm
2010-11-24,El Cimarrón - Comisaría,---mm
2010-11-24,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-11-24,Federal - Brigada Abigeato,---mm
2010-11-24,Federal - Jefatura Departamental,4mm
2010-11-24,La Calandria - Comisaría,1mm
2010-11-24,Nueva Vizcaya - Comisaría,---mm
2010-11-24,Sauce de Luna - Comisaría,5mm
2010-11-27,Banderas,18mm
2010-11-27,Chañar - Comisaría,19mm
2010-11-27,Conscripto Bernardi - Comisaría,15mm
2010-11-27,El Cimarrón - Comisaría,13mm
2010-11-27,Elias Romero - Dto. Moreyra - Comisaría,14mm
2010-11-27,Federal - Brigada Abigeato,---mm
2010-11-27,Federal - Jefatura Departamental,7mm
2010-11-27,La Calandria - Comisaría,---mm
2010-11-27,Nueva Vizcaya - Comisaría,---mm
2010-11-27,Sauce de Luna - Comisaría,15mm
2010-12-02,Banderas,---mm
2010-12-02,Chañar - Comisaría,---mm
2010-12-02,Conscripto Bernardi - Comisaría,---mm
2010-12-02,El Cimarrón - Comisaría,---mm
2010-12-02,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-12-02,Federal - Brigada Abigeato,---mm
2010-12-02,Federal - Jefatura Departamental,---mm
2010-12-02,La Calandria - Comisaría,---mm
2010-12-02,Nueva Vizcaya - Comisaría,---mm
2010-12-02,Sauce de Luna - Comisaría,---mm
2010-12-04,Banderas,---mm
2010-12-04,Chañar - Comisaría,---mm
2010-12-04,Conscripto Bernardi - Comisaría,---mm
2010-12-04,El Cimarrón - Comisaría,---mm
2010-12-04,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-12-04,Federal - Brigada Abigeato,---mm
2010-12-04,Federal - Jefatura Departamental,---mm
2010-12-04,La Calandria - Comisaría,---mm
2010-12-04,Nueva Vizcaya - Comisaría,---mm
2010-12-04,Sauce de Luna - Comisaría,---mm
2010-12-10,Banderas,---mm
2010-12-10,Chañar - Comisaría,---mm
2010-12-10,Conscripto Bernardi - Comisaría,---mm
2010-12-10,El Cimarrón - Comisaría,---mm
2010-12-10,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-12-10,Federal - Brigada Abigeato,---mm
2010-12-10,Federal - Jefatura Departamental,---mm
2010-12-10,La Calandria - Comisaría,---mm
2010-12-10,Nueva Vizcaya - Comisaría,---mm
2010-12-10,Sauce de Luna - Comisaría,---mm
2010-12-11,Banderas,8mm
2010-12-11,Chañar - Comisaría,3mm
2010-12-11,Conscripto Bernardi - Comisaría,3mm
2010-12-11,El Cimarrón - Comisaría,3mm
2010-12-11,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-12-11,Federal - Brigada Abigeato,---mm
2010-12-11,Federal - Jefatura Departamental,4mm
2010-12-11,La Calandria - Comisaría,4mm
2010-12-11,Nueva Vizcaya - Comisaría,---mm
2010-12-11,Sauce de Luna - Comisaría,---mm
2010-12-12,Banderas,---mm
2010-12-12,Chañar - Comisaría,---mm
2010-12-12,Conscripto Bernardi - Comisaría,---mm
2010-12-12,El Cimarrón - Comisaría,---mm
2010-12-12,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-12-12,Federal - Brigada Abigeato,---mm
2010-12-12,Federal - Jefatura Departamental,---mm
2010-12-12,La Calandria - Comisaría,---mm
2010-12-12,Nueva Vizcaya - Comisaría,---mm
2010-12-12,Sauce de Luna - Comisaría,---mm
2010-12-18,Banderas,---mm
2010-12-18,Chañar - Comisaría,---mm
2010-12-18,Conscripto Bernardi - Comisaría,---mm
2010-12-18,El Cimarrón - Comisaría,---mm
2010-12-18,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-12-18,Federal - Brigada Abigeato,3mm
2010-12-18,Federal - Jefatura Departamental,---mm
2010-12-18,La Calandria - Comisaría,---mm
2010-12-18,Nueva Vizcaya - Comisaría,---mm
2010-12-18,Sauce de Luna - Comisaría,---mm
2010-12-19,Banderas,35mm
2010-12-19,Chañar - Comisaría,34mm
2010-12-19,Conscripto Bernardi - Comisaría,21mm
2010-12-19,El Cimarrón - Comisaría,26mm
2010-12-19,Elias Romero - Dto. Moreyra - Comisaría,---mm
2010-12-19,Federal - Brigada Abigeato,---mm
2010-12-19,Federal - Jefatura Departamental,45mm
2010-12-19,La Calandria - Comisaría,21mm
2010-12-19,Nueva Vizcaya - Comisaría,---mm
2010-12-19,Sauce de Luna - Comisaría,22mm
2011-01-25,Banderas,5mm
2011-01-25,Chañar - Comisaría,2mm
2011-01-25,Conscripto Bernardi - Comisaría,4mm
2011-01-25,El Cimarrón - Comisaría,2mm
2011-01-25,Elias Romero - Dto. Moreyra - Comisaría,---mm
2011-01-25,Federal - Brigada Abigeato,---mm
2011-01-25,Federal - Jefatura Departamental,3mm
2011-01-25,La Calandria - Comisaría,1mm
2011-01-25,Nueva Vizcaya - Comisaría,---mm
2011-01-25,Sauce de Luna - Comisaría,5mm
2011-01-27,Banderas,---mm
2011-01-27,Chañar - Comisaría,---mm
2011-01-27,Conscripto Bernardi - Comisaría,---mm
2011-01-27,El Cimarrón - Comisaría,---mm
2011-01-27,Elias Romero - Dto. Moreyra - Comisaría,---mm
2011-01-27,Federal - Brigada Abigeato,---mm
2011-01-27,Federal - Jefatura Departamental,---mm
2011-01-27,La Calandria - Comisaría,---mm
2011-01-27,Nueva Vizcaya - Comisaría,---mm
2011-01-27,Sauce de Luna - Comisaría,---mm
2011-01-28,Banderas,---mm
2011-01-28,Chañar - Comisaría,---mm
2011-01-28,Conscripto Bernardi - Comisaría,---mm
2011-01-28,El Cimarrón - Comisaría,---mm
2011-01-28,Elias Romero - Dto. Moreyra - Comisaría,---mm
2011-01-28,Federal - Brigada Abigeato,---mm
2011-01-28,Federal - Jefatura Departamental,---mm
2011-01-28,La Calandria - Comisaría,---mm
2011-01-28,Nueva Vizcaya - Comisaría,---mm
2011-01-28,Sauce de Luna - Comisaría,---mm
2011-02-07,Banderas,38mm
2011-02-07,Chañar - Comisaría,52mm
2011-02-07,Conscripto Bernardi - Comisaría,6mm
2011-02-07,El Cimarrón - Comisaría,16mm
2011-02-07,Elias Romero - Dto. Moreyra - Comisaría,72mm
2011-02-07,Federal - Brigada Abigeato,27mm
2011-02-07,Federal - Jefatura Departamental,31mm
2011-02-07,La Calandria - Comisaría,66mm
2011-02-07,Nueva Vizcaya - Comisaría,---mm
2011-02-07,Sauce de Luna - Comisaría,123mm
2011-02-09,Banderas,---mm
2011-02-09,Chañar - Comisaría,---mm
2011-02-09,Conscripto Bernardi - Comisaría,---mm
2011-02-09,El Cimarrón - Comisaría,---mm
2011-02-09,Elias Romero - Dto. Moreyra - Comisaría,---mm
2011-02-09,Federal - Brigada Abigeato,---mm
2011-02-09,Federal - Jefatura Departamental,---mm
2011-02-09,La Calandria - Comisaría,---mm
2011-02-09,Nueva Vizcaya - Comisaría,---mm
2011-02-09,Sauce de Luna - Comisaría,---mm
2011-02-12,Banderas,---mm
2011-02-12,Chañar - Comisaría,---mm
2011-02-12,Conscripto Bernardi - Comisaría,---mm
2011-02-12,El Cimarrón - Comisaría,---mm
2011-02-12,Elias Romero - Dto. Moreyra - Comisaría,---mm
2011-02-12,Federal - Brigada Abigeato,---mm
2011-02-12,Federal - Jefatura Departamental,---mm
2011-02-12,La Calandria - Comisaría,---mm
2011-02-12,Nueva Vizcaya - Comisaría,---mm
2011-02-12,Sauce de Luna - Comisaría,---mm
2011-02-18,Banderas,---mm
2011-02-18,Chañar - Comisaría,---mm
2011-02-18,Conscripto Bernardi - Comisaría,---mm
2011-02-18,El Cimarrón - Comisaría,---mm
2011-02-18,Elias Romero - Dto. Moreyra - Comisaría,---mm
2011-02-18,Federal - Brigada Abigeato,---mm
2011-02-18,Federal - Jefatura Departamental,---mm
2011-02-18,La Calandria - Comisaría,---mm
2011-02-18,Nueva Vizcaya - Comisaría,---mm
2011-02-18,Sauce de Luna - Comisaría,---mm
2011-02-19,Banderas,45mm
2011-02-19,Chañar - Comisaría,1mm
2011-02-19,Conscripto Bernardi - Comisaría,2mm
2011-02-19,El Cimarrón - Comisaría,6mm
2011-02-19,Elias Romero - Dto. Moreyra - Comisaría,---mm
2011-02-19,Federal - Brigada Abigeato,---mm
2011-02-19,Federal - Jefatura Departamental,5mm
2011-02-19,La Calandria - Comisaría,34mm
2011-02-19,Nueva Vizcaya - Comisaría,6mm
2011-02-19,Sauce de Luna - Comisaría,---mm
2011-02-20,Banderas,45mm
2011-02-20,Chañar - Comisaría,1mm
2011-02-20,Conscripto Bernardi - Comisaría,2mm
2011-02-20,El Cimarrón - Comisaría,6mm
2011-02-20,Elias Romero - Dto. Moreyra - Comisaría,---mm
2011-02-20,Federal - Brigada Abigeato,---mm
2011-02-20,Federal - Jefatura Departamental,5mm
2011-02-20,La Calandria - Comisaría,34mm
2011-02-20,Nueva Vizcaya - Comisaría,6mm
2011-02-20,Sauce de Luna - Comisaría,---mm
2011-02-21,Banderas,---mm
2011-02-21,Chañar - Comisaría,---mm
2011-02-21,Conscripto Bernardi - Comisaría,---mm
2011-02-21,El Cimarrón - Comisaría,---mm
2011-02-21,Elias Romero - Dto. Moreyra - Comisaría,---mm
2011-02-21,Federal - Brigada Abigeato,---mm
2011-02-21,Federal - Jefatura Departamental,---mm
2011-02-21,La Calandria - Comisaría,---mm
