fecha,Estación,Precipitación
2010-09-02,Atencio - Subcomisaría,4mm
2010-09-02,Feliciano - Ciudad - Est.Agromet. DPH,7mm
2010-09-02,La Esmeralda - Comis.Nº 15 (Basualdo),---mm
2010-09-02,La Hierra - Destacamento Nº 52,5mm
2010-09-02,La Verbena - Comisaría,4mm
2010-09-02,Las Mulitas - Comisaría Nº 19,4mm
2010-09-02,Mulas Grandes - Destacamento Nº 54,3mm
2010-09-02,Puente de Hierro - Destacamento Nº 50,5mm
2010-09-02,Rincón de Mesa - Destacamento Nº 53,4mm
2010-09-02,Rincón del Chañar - Destacamento Nº 55,3mm
2010-09-02,San Pedro - Destacamento,5mm
2010-09-02,San Víctor - Subcomisaría Nº 22,2mm
2010-09-10,Atencio - Subcomisaría,---mm
2010-09-10,Feliciano - Ciudad - Est.Agromet. DPH,---mm
2010-09-10,La Esmeralda - Comis.Nº 15 (Basualdo),---mm
2010-09-10,La Hierra - Destacamento Nº 52,---mm
2010-09-10,La Verbena - Comisaría,---mm
2010-09-10,Las Mulitas - Comisaría Nº 19,---mm
2010-09-10,Mulas Grandes - Destacamento Nº 54,---mm
2010-09-10,Puente de Hierro - Destacamento Nº 50,---mm
2010-09-10,Rincón de Mesa - Destacamento Nº 53,---mm
2010-09-10,Rincón del Chañar - Destacamento Nº 55,---mm
2010-09-10,San Pedro - Destacamento,---mm
2010-09-10,San Víctor - Subcomisaría Nº 22,---mm
2010-09-11,Atencio - Subcomisaría,0mm
2010-09-11,Feliciano - Ciudad - Est.Agromet. DPH,0mm
2010-09-11,La Esmeralda - Comis.Nº 15 (Basualdo),---mm
2010-09-11,La Hierra - Destacamento Nº 52,---mm
2010-09-11,La Verbena - Comisaría,---mm
2010-09-11,Las Mulitas - Comisaría Nº 19,---mm
2010-09-11,Mulas Grandes - Destacamento Nº 54,---mm
2010-09-11,Puente de Hierro - Destacamento Nº 50,---mm
2010-09-11,Rincón de Mesa - Destacamento Nº 53,---mm
2010-09-11,Rincón del Chañar - Destacamento Nº 55,---mm
2010-09-11,San Pedro - Destacamento,0mm
2010-09-11,San Víctor - Subcomisaría Nº 22,---mm
2010-09-13,Atencio - Subcomisaría,10mm
2010-09-13,Feliciano - Ciudad - Est.Agromet. DPH,10mm
2010-09-13,La Esmeralda - Comis.Nº 15 (Basualdo),---mm
2010-09-13,La Hierra - Destacamento Nº 52,15mm
2010-09-13,La Verbena - Comisaría,8mm
2010-09-13,Las Mulitas - Comisaría Nº 19,9mm
2010-09-13,Mulas Grandes - Destacamento Nº 54,12mm
2010-09-13,Puente de Hierro - Destacamento Nº 50,9mm
2010-09-13,Rincón de Mesa - Destacamento Nº 53,9mm
2010-09-13,Rincón del Chañar - Destacamento Nº 55,22mm
2010-09-13,San Pedro - Destacamento,---mm
2010-09-13,San Víctor - Subcomisaría Nº 22,6mm
2010-09-21,Atencio - Subcomisaría,---mm
2010-09-21,Feliciano - Ciudad - Est.Agromet. DPH,---mm
2010-09-21,La Esmeralda - Comis.Nº 15 (Basualdo),---mm
2010-09-21,La Hierra - Destacamento Nº 52,---mm
2010-09-21,La Verbena - Comisaría,---mm
2010-09-21,Las Mulitas - Comisaría Nº 19,---mm
2010-09-21,Mulas Grandes - Destacamento Nº 54,---mm
2010-09-21,Puente de Hierro - Destacamento Nº 50,---mm
2010-09-21,Rincón de Mesa - Destacamento Nº 53,---mm
2010-09-21,Rincón del Chañar - Destacamento Nº 55,---mm
2010-09-21,San Pedro - Destacamento,---mm
2010-09-21,San Víctor - Subcomisaría Nº 22,---mm
2010-09-22,Atencio - Subcomisaría,---mm
2010-09-22,Feliciano - Ciudad - Est.Agromet. DPH,---mm
2010-09-22,La Esmeralda - Comis.Nº 15 (Basualdo),---mm
2010-09-22,La Hierra - Destacamento Nº 52,---mm
2010-09-22,La Verbena - Comisaría,---mm
2010-09-22,Las Mulitas - Comisaría Nº 19,---mm
2010-09-22,Mulas Grandes - Destacamento Nº 54,---mm
2010-09-22,Puente de Hierro - Destacamento Nº 50,---mm
2010-09-22,Rincón de Mesa - Destacamento Nº 53,---mm
2010-09-22,Rincón del Chañar - Destacamento Nº 55,---mm
2010-09-22,San Pedro - Destacamento,---mm
2010-09-22,San Víctor - Subcomisaría Nº 22,---mm
2010-09-27,Atencio - Subcomisaría,---mm
2010-09-27,Feliciano - Ciudad - Est.Agromet. DPH,---mm
2010-09-27,La Esmeralda - Comis.Nº 15 (Basualdo),---mm
2010-09-27,La Hierra - Destacamento Nº 52,---mm
2010-09-27,La Verbena - Comisaría,---mm
2010-09-27,Las Mulitas - Comisaría Nº 19,---mm
2010-09-27,Mulas Grandes - Destacamento Nº 54,---mm
2010-09-27,Puente de Hierro - Destacamento Nº 50,---mm
2010-09-27,Rincón de Mesa - Destacamento Nº 53,---mm
2010-09-27,Rincón del Chañar - Destacamento Nº 55,---mm
2010-09-27,San Pedro - Destacamento,---mm
2010-09-27,San Víctor - Subcomisaría Nº 22,---mm
2010-09-28,Atencio - Subcomisaría,---mm
2010-09-28,Feliciano - Ciudad - Est.Agromet. DPH,---mm
2010-09-28,La Esmeralda - Comis.Nº 15 (Basualdo),---mm
2010-09-28,La Hierra - Destacamento Nº 52,---mm
2010-09-28,La Verbena - Comisaría,---mm
2010-09-28,Las Mulitas - Comisaría Nº 19,---mm
2010-09-28,Mulas Grandes - Destacamento Nº 54,---mm
2010-09-28,Puente de Hierro - Destacamento Nº 50,---mm
2010-09-28,Rincón de Mesa - Destacamento Nº 53,---mm
2010-09-28,Rincón del Chañar - Destacamento Nº 55,---mm
2010-09-28,San Pedro - Destacamento,---mm
2010-09-28,San Víctor - Subcomisaría Nº 22,---mm
2010-10-01,Atencio - Subcomisaría,---mm
2010-10-01,Feliciano - Ciudad - Est.Agromet. DPH,---mm
2010-10-01,La Esmeralda - Comis.Nº 15 (Basualdo),---mm
2010-10-01,La Hierra - Destacamento Nº 52,---mm
2010-10-01,La Verbena - Comisaría,---mm
2010-10-01,Las Mulitas - Comisaría Nº 19,---mm
2010-10-01,Mulas Grandes - Destacamento Nº 54,---mm
2010-10-01,Puente de Hierro - Destacamento Nº 50,---mm
2010-10-01,Rincón de Mesa - Destacamento Nº 53,---mm
2010-10-01,Rincón del Chañar - Destacamento Nº 55,---mm
2010-10-01,San Pedro - Destacamento,---mm
2010-10-01,San Víctor - Subcomisaría Nº 22,---mm
2010-10-06,Atencio - Subcomisaría,---mm
2010-10-06,Feliciano - Ciudad - Est.Agromet. DPH,---mm
2010-10-06,La Esmeralda - Comis.Nº 15 (Basualdo),---mm
2010-10-06,La Hierra - Destacamento Nº 52,---mm
2010-10-06,La Verbena - Comisaría,---mm
2010-10-06,Las Mulitas - Comisaría Nº 19,---mm
2010-10-06,Mulas Grandes - Destacamento Nº 54,---mm
2010-10-06,Puente de Hierro - Destacamento Nº 50,---mm
2010-10-06,Rincón de Mesa - Destacamento Nº 53,---mm
2010-10-06,Rincón del Chañar - Destacamento Nº 55,---mm
2010-10-06,San Pedro - Destacamento,---mm
2010-10-06,San Víctor - Subcomisaría Nº 22,---mm
2010-10-14,Atencio - Subcomisaría,---mm
2010-10-14,Feliciano - Ciudad - Est.Agromet. DPH,---mm
2010-10-14,La Esmeralda - Comis.Nº 15 (Basualdo),---mm
2010-10-14,La Hierra - Destacamento Nº 52,---mm
2010-10-14,La Verbena - Comisaría,---mm
2010-10-14,Las Mulitas - Comisaría Nº 19,---mm
2010-10-14,Mulas Grandes - Destacamento Nº 54,---mm
2010-10-14,Puente de Hierro - Destacamento Nº 50,---mm
2010-10-14,Rincón de Mesa - Destacamento Nº 53,---mm
2010-10-14,Rincón del Chañar - Destacamento Nº 55,---mm
2010-10-14,San Pedro - Destacamento,---mm
2010-10-14,San Víctor - Subcomisaría Nº 22,---mm
2010-10-22,Atencio - Subcomisaría,---mm
2010-10-22,Feliciano - Ciudad - Est.Agromet. DPH,---mm
2010-10-22,La Esmeralda - Comis.Nº 15 (Basualdo),---mm
2010-10-22,La Hierra - Destacamento Nº 52,---mm
2010-10-22,La Verbena - Comisaría,---mm
2010-10-22,Las Mulitas - Comisaría Nº 19,---mm
2010-10-22,Mulas Grandes - Destacamento Nº 54,---mm
2010-10-22,Puente de Hierro - Destacamento Nº 50,---mm
2010-10-22,Rincón de Mesa - Destacamento Nº 53,---mm
2010-10-22,Rincón del Chañar - Destacamento Nº 55,---mm
2010-10-22,San Pedro - Destacamento,---mm
2010-10-22,San Víctor - Subcomisaría Nº 22,---mm
2010-10-29,Atencio - Subcomisaría,---mm
2010-10-29,Feliciano - Ciudad - Est.Agromet. DPH,---mm
2010-10-29,La Esmeralda - Comis.Nº 15 (Basualdo),---mm
2010-10-29,La Hierra - Destacamento Nº 52,---mm
2010-10-29,La Verbena - Comisaría,---mm
2010-10-29,Las Mulitas - Comisaría Nº 19,---mm
2010-10-29,Mulas Grandes - Destacamento Nº 54,---mm
2010-10-29,Puente de Hierro - Destacamento Nº 50,---mm
2010-10-29,Rincón de Mesa - Destacamento Nº 53,---mm
2010-10-29,Rincón del Chañar - Destacamento Nº 55,---mm
2010-10-29,San Pedro - Destacamento,---mm
2010-10-29,San Víctor - Subcomisaría Nº 22,---mm
2010-11-04,Atencio - Subcomisaría,---mm
2010-11-04,Feliciano - Ciudad - Est.Agromet. DPH,---mm
2010-11-04,La Esmeralda - Comis.Nº 15 (Basualdo),---mm
2010-11-04,La Hierra - Destacamento Nº 52,---mm
