fecha,Estación,Precipitación
2010-09-02,3º Distrito - Aldea Asunción,32mm
2010-09-02,6º Distrito - Comisaría Nº 17 (3 Boc.),50mm
2010-09-02,7º Distrito - Comisaría Nº 28,68mm
2010-09-02,8º Distrito - Comisaría Nº 27,73mm
2010-09-02,Gral. Galarza - Comisaría,50mm
2010-09-02,Gualeguay Ciudad - Bomberos Voluntarios,70mm
2010-09-02,Lazo - Comisaría,---mm
2010-09-02,Puerto Ruiz - Comisaría,72mm
2010-09-10,3º Distrito - Aldea Asunción,---mm
2010-09-10,6º Distrito - Comisaría Nº 17 (3 Boc.),12mm
2010-09-10,7º Distrito - Comisaría Nº 28,10mm
2010-09-10,8º Distrito - Comisaría Nº 27,12mm
2010-09-10,Gral. Galarza - Comisaría,15mm
2010-09-10,Gualeguay Ciudad - Bomberos Voluntarios,15mm
2010-09-10,Lazo - Comisaría,---mm
2010-09-10,Puerto Ruiz - Comisaría,---mm
2010-09-11,3º Distrito - Aldea Asunción,---mm
2010-09-11,6º Distrito - Comisaría Nº 17 (3 Boc.),---mm
2010-09-11,7º Distrito - Comisaría Nº 28,---mm
2010-09-11,8º Distrito - Comisaría Nº 27,---mm
2010-09-11,Gral. Galarza - Comisaría,---mm
2010-09-11,Gualeguay Ciudad - Bomberos Voluntarios,---mm
2010-09-11,Lazo - Comisaría,---mm
2010-09-11,Puerto Ruiz - Comisaría,0mm
2010-09-13,3º Distrito - Aldea Asunción,---mm
2010-09-13,6º Distrito - Comisaría Nº 17 (3 Boc.),5mm
2010-09-13,7º Distrito - Comisaría Nº 28,5mm
2010-09-13,8º Distrito - Comisaría Nº 27,5mm
2010-09-13,Gral. Galarza - Comisaría,6mm
2010-09-13,Gualeguay Ciudad - Bomberos Voluntarios,23mm
2010-09-13,Lazo - Comisaría,---mm
2010-09-13,Puerto Ruiz - Comisaría,---mm
2010-09-21,3º Distrito - Aldea Asunción,---mm
2010-09-21,6º Distrito - Comisaría Nº 17 (3 Boc.),---mm
2010-09-21,7º Distrito - Comisaría Nº 28,---mm
2010-09-21,8º Distrito - Comisaría Nº 27,---mm
2010-09-21,Gral. Galarza - Comisaría,---mm
2010-09-21,Gualeguay Ciudad - Bomberos Voluntarios,---mm
2010-09-21,Lazo - Comisaría,---mm
2010-09-21,Puerto Ruiz - Comisaría,---mm
2010-09-22,3º Distrito - Aldea Asunción,---mm
2010-09-22,6º Distrito - Comisaría Nº 17 (3 Boc.),---mm
2010-09-22,7º Distrito - Comisaría Nº 28,---mm
2010-09-22,8º Distrito - Comisaría Nº 27,---mm
2010-09-22,Gral. Galarza - Comisaría,---mm
2010-09-22,Gualeguay Ciudad - Bomberos Voluntarios,---mm
2010-09-22,Lazo - Comisaría,---mm
2010-09-22,Puerto Ruiz - Comisaría,---mm
2010-09-27,3º Distrito - Aldea Asunción,---mm
2010-09-27,6º Distrito - Comisaría Nº 17 (3 Boc.),---mm
2010-09-27,7º Distrito - Comisaría Nº 28,---mm
2010-09-27,8º Distrito - Comisaría Nº 27,5mm
2010-09-27,Gral. Galarza - Comisaría,---mm
2010-09-27,Gualeguay Ciudad - Bomberos Voluntarios,3mm
2010-09-27,Lazo - Comisaría,---mm
2010-09-27,Puerto Ruiz - Comisaría,---mm
2010-09-28,3º Distrito - Aldea Asunción,---mm
2010-09-28,6º Distrito - Comisaría Nº 17 (3 Boc.),---mm
2010-09-28,7º Distrito - Comisaría Nº 28,---mm
