fecha,Estación,Precipitación
2010-09-02,Alarcón - Destacamento,---mm
2010-09-02,Aldea San Antonio (Scheffer),---mm
2010-09-02,Costa Río Uruguay - Comisaría,9mm
2010-09-02,Costa San Antonio,4mm
2010-09-02,Cuchilla Redonda - Comisaría,---mm
2010-09-02,Escriña - Destacamento,3mm
2010-09-02,Estación Gilbert - Comisaría,2mm
2010-09-02,Faustino M. Parera - Destacamento,3mm
2010-09-02,Gchú - Ciudad - Municipalidad,9mm
2010-09-02,Gral. Almada - Comisaría,3mm
2010-09-02,Irazusta - Subcomisaría,---mm
2010-09-02,Pastor Britos,3mm
2010-09-02,Pehuajó Sur - Subcomisaría,---mm
2010-09-02,Perdices,25mm
2010-09-02,Rincón del Gato - Comisaría,---mm
2010-09-02,Talitas - Subcomisaría,---mm
2010-09-10,Alarcón - Destacamento,20mm
2010-09-10,Aldea San Antonio (Scheffer),23mm
2010-09-10,Costa Río Uruguay - Comisaría,26mm
2010-09-10,Costa San Antonio,23mm
2010-09-10,Cuchilla Redonda - Comisaría,20mm
2010-09-10,Escriña - Destacamento,30mm
2010-09-10,Estación Gilbert - Comisaría,20mm
2010-09-10,Faustino M. Parera - Destacamento,21mm
2010-09-10,Gchú - Ciudad - Municipalidad,28mm
2010-09-10,Gral. Almada - Comisaría,23mm
2010-09-10,Irazusta - Subcomisaría,20mm
2010-09-10,Pastor Britos,25mm
2010-09-10,Pehuajó Sur - Subcomisaría,20mm
2010-09-10,Perdices,21mm
2010-09-10,Rincón del Gato - Comisaría,---mm
2010-09-10,Talitas - Subcomisaría,25mm
2010-09-11,Alarcón - Destacamento,0mm
2010-09-11,Aldea San Antonio (Scheffer),0mm
2010-09-11,Costa Río Uruguay - Comisaría,0mm
2010-09-11,Costa San Antonio,0mm
2010-09-11,Cuchilla Redonda - Comisaría,0mm
2010-09-11,Escriña - Destacamento,0mm
2010-09-11,Estación Gilbert - Comisaría,0mm
2010-09-11,Faustino M. Parera - Destacamento,0mm
2010-09-11,Gchú - Ciudad - Municipalidad,0mm
2010-09-11,Gral. Almada - Comisaría,0mm
2010-09-11,Irazusta - Subcomisaría,0mm
2010-09-11,Pastor Britos,0mm
2010-09-11,Pehuajó Sur - Subcomisaría,0mm
2010-09-11,Perdices,0mm
2010-09-11,Rincón del Gato - Comisaría,0mm
2010-09-11,Talitas - Subcomisaría,0mm
2010-09-13,Alarcón - Destacamento,10mm
2010-09-13,Aldea San Antonio (Scheffer),6mm
2010-09-13,Costa Río Uruguay - Comisaría,18mm
2010-09-13,Costa San Antonio,14mm
2010-09-13,Cuchilla Redonda - Comisaría,10mm
2010-09-13,Escriña - Destacamento,10mm
2010-09-13,Estación Gilbert - Comisaría,18mm
2010-09-13,Faustino M. Parera - Destacamento,15mm
2010-09-13,Gchú - Ciudad - Municipalidad,20mm
2010-09-13,Gral. Almada - Comisaría,12mm
2010-09-13,Irazusta - Subcomisaría,8mm
2010-09-13,Pastor Britos,12mm
2010-09-13,Pehuajó Sur - Subcomisaría,10mm
2010-09-13,Perdices,7mm
2010-09-13,Rincón del Gato - Comisaría,---mm
2010-09-13,Talitas - Subcomisaría,8mm
2010-09-21,Alarcón - Destacamento,---mm
2010-09-21,Aldea San Antonio (Scheffer),---mm
2010-09-21,Costa Río Uruguay - Comisaría,---mm
2010-09-21,Costa San Antonio,---mm
2010-09-21,Cuchilla Redonda - Comisaría,---mm
2010-09-21,Escriña - Destacamento,---mm
2010-09-21,Estación Gilbert - Comisaría,---mm
2010-09-21,Faustino M. Parera - Destacamento,---mm
2010-09-21,Gchú - Ciudad - Municipalidad,---mm
2010-09-21,Gral. Almada - Comisaría,---mm
2010-09-21,Irazusta - Subcomisaría,---mm
2010-09-21,Pastor Britos,---mm
2010-09-21,Pehuajó Sur - Subcomisaría,---mm
2010-09-21,Perdices,---mm
2010-09-21,Rincón del Gato - Comisaría,---mm
2010-09-21,Talitas - Subcomisaría,---mm
2010-09-22,Alarcón - Destacamento,3mm
2010-09-22,Aldea San Antonio (Scheffer),1mm
2010-09-22,Costa Río Uruguay - Comisaría,5mm
2010-09-22,Costa San Antonio,1mm
2010-09-22,Cuchilla Redonda - Comisaría,2mm
2010-09-22,Escriña - Destacamento,1mm
2010-09-22,Estación Gilbert - Comisaría,1mm
2010-09-22,Faustino M. Parera - Destacamento,1mm
2010-09-22,Gchú - Ciudad - Municipalidad,1mm
2010-09-22,Gral. Almada - Comisaría,1mm
2010-09-22,Irazusta - Subcomisaría,1mm
2010-09-22,Pastor Britos,1mm
2010-09-22,Pehuajó Sur - Subcomisaría,2mm
2010-09-22,Perdices,8mm
2010-09-22,Rincón del Gato - Comisaría,1mm
2010-09-22,Talitas - Subcomisaría,1mm
2010-09-27,Alarcón - Destacamento,---mm
2010-09-27,Aldea San Antonio (Scheffer),---mm
2010-09-27,Costa Río Uruguay - Comisaría,---mm
2010-09-27,Costa San Antonio,---mm
2010-09-27,Cuchilla Redonda - Comisaría,---mm
2010-09-27,Escriña - Destacamento,---mm
2010-09-27,Estación Gilbert - Comisaría,---mm
2010-09-27,Faustino M. Parera - Destacamento,---mm
2010-09-27,Gchú - Ciudad - Municipalidad,---mm
2010-09-27,Gral. Almada - Comisaría,---mm
2010-09-27,Irazusta - Subcomisaría,---mm
2010-09-27,Pastor Britos,---mm
2010-09-27,Pehuajó Sur - Subcomisaría,---mm
2010-09-27,Perdices,---mm
2010-09-27,Rincón del Gato - Comisaría,---mm
2010-09-27,Talitas - Subcomisaría,---mm
2010-09-28,Alarcón - Destacamento,---mm
2010-09-28,Aldea San Antonio (Scheffer),---mm
2010-09-28,Costa Río Uruguay - Comisaría,---mm
2010-09-28,Costa San Antonio,---mm
2010-09-28,Cuchilla Redonda - Comisaría,---mm
2010-09-28,Escriña - Destacamento,---mm
2010-09-28,Estación Gilbert - Comisaría,---mm
2010-09-28,Faustino M. Parera - Destacamento,---mm
2010-09-28,Gchú - Ciudad - Municipalidad,---mm
2010-09-28,Gral. Almada - Comisaría,---mm
2010-09-28,Irazusta - Subcomisaría,---mm
2010-09-28,Pastor Britos,---mm
2010-09-28,Pehuajó Sur - Subcomisaría,---mm
2010-09-28,Perdices,---mm
2010-09-28,Rincón del Gato - Comisaría,---mm
2010-09-28,Talitas - Subcomisaría,---mm
2010-10-01,Alarcón - Destacamento,---mm
2010-10-01,Aldea San Antonio (Scheffer),---mm
2010-10-01,Costa Río Uruguay - Comisaría,---mm
2010-10-01,Costa San Antonio,---mm
2010-10-01,Cuchilla Redonda - Comisaría,---mm
2010-10-01,Escriña - Destacamento,---mm
2010-10-01,Estación Gilbert - Comisaría,---mm
2010-10-01,Faustino M. Parera - Destacamento,---mm
2010-10-01,Gchú - Ciudad - Municipalidad,---mm
2010-10-01,Gral. Almada - Comisaría,---mm
2010-10-01,Irazusta - Subcomisaría,---mm
2010-10-01,Pastor Britos,---mm
2010-10-01,Pehuajó Sur - Subcomisaría,---mm
2010-10-01,Perdices,---mm
2010-10-01,Rincón del Gato - Comisaría,---mm
2010-10-01,Talitas - Subcomisaría,---mm
2010-10-06,Alarcón - Destacamento,---mm
2010-10-06,Aldea San Antonio (Scheffer),---mm
2010-10-06,Costa Río Uruguay - Comisaría,---mm
2010-10-06,Costa San Antonio,---mm
2010-10-06,Cuchilla Redonda - Comisaría,---mm
2010-10-06,Escriña - Destacamento,---mm
2010-10-06,Estación Gilbert - Comisaría,---mm
2010-10-06,Faustino M. Parera - Destacamento,---mm
2010-10-06,Gchú - Ciudad - Municipalidad,---mm
2010-10-06,Gral. Almada - Comisaría,---mm
2010-10-06,Irazusta - Subcomisaría,---mm
2010-10-06,Pastor Britos,---mm
2010-10-06,Pehuajó Sur - Subcomisaría,---mm
2010-10-06,Perdices,---mm
2010-10-06,Rincón del Gato - Comisaría,---mm
2010-10-06,Talitas - Subcomisaría,---mm
2010-10-14,Alarcón - Destacamento,---mm
2010-10-14,Aldea San Antonio (Scheffer),---mm
2010-10-14,Costa Río Uruguay - Comisaría,---mm
2010-10-14,Costa San Antonio,---mm
2010-10-14,Cuchilla Redonda - Comisaría,---mm
2010-10-14,Escriña - Destacamento,---mm
2010-10-14,Estación Gilbert - Comisaría,---mm
2010-10-14,Faustino M. Parera - Destacamento,---mm
2010-10-14,Gchú - Ciudad - Municipalidad,---mm
2010-10-14,Gral. Almada - Comisaría,---mm
2010-10-14,Irazusta - Subcomisaría,---mm
