fecha,Estación,Precipitación
2010-09-02,Brazo Largo - Puesto Caminero,50mm
2010-09-02,Holt Ibicuy - Comisaría,68mm
2010-09-02,Mazaruca - Destacamento,81mm
2010-09-02,Villa Paranacito - Prefectura,57mm
2010-09-10,Brazo Largo - Puesto Caminero,---mm
2010-09-10,Holt Ibicuy - Comisaría,10mm
2010-09-10,Mazaruca - Destacamento,8mm
2010-09-10,Villa Paranacito - Prefectura,7mm
2010-09-11,Brazo Largo - Puesto Caminero,0mm
2010-09-11,Holt Ibicuy - Comisaría,0mm
2010-09-11,Mazaruca - Destacamento,0mm
2010-09-11,Villa Paranacito - Prefectura,0mm
2010-09-13,Brazo Largo - Puesto Caminero,25mm
2010-09-13,Holt Ibicuy - Comisaría,22mm
2010-09-13,Mazaruca - Destacamento,20mm
2010-09-13,Villa Paranacito - Prefectura,15mm
2010-09-21,Brazo Largo - Puesto Caminero,---mm
2010-09-21,Holt Ibicuy - Comisaría,---mm
2010-09-21,Mazaruca - Destacamento,---mm
2010-09-21,Villa Paranacito - Prefectura,---mm
2010-09-22,Brazo Largo - Puesto Caminero,---mm
2010-09-22,Holt Ibicuy - Comisaría,---mm
2010-09-22,Mazaruca - Destacamento,---mm
2010-09-22,Villa Paranacito - Prefectura,---mm
2010-09-27,Brazo Largo - Puesto Caminero,---mm
2010-09-27,Holt Ibicuy - Comisaría,---mm
2010-09-27,Mazaruca - Destacamento,---mm
2010-09-27,Villa Paranacito - Prefectura,---mm
2010-09-28,Brazo Largo - Puesto Caminero,---mm
2010-09-28,Holt Ibicuy - Comisaría,---mm
2010-09-28,Mazaruca - Destacamento,---mm
2010-09-28,Villa Paranacito - Prefectura,---mm
2010-10-01,Brazo Largo - Puesto Caminero,---mm
2010-10-01,Holt Ibicuy - Comisaría,---mm
2010-10-01,Mazaruca - Destacamento,---mm
2010-10-01,Villa Paranacito - Prefectura,---mm
2010-10-06,Brazo Largo - Puesto Caminero,---mm
2010-10-06,Holt Ibicuy - Comisaría,---mm
2010-10-06,Mazaruca - Destacamento,---mm
2010-10-06,Villa Paranacito - Prefectura,---mm
2010-10-14,Brazo Largo - Puesto Caminero,8mm
2010-10-14,Holt Ibicuy - Comisaría,7mm
2010-10-14,Mazaruca - Destacamento,8mm
2010-10-14,Villa Paranacito - Prefectura,5mm
2010-10-22,Brazo Largo - Puesto Caminero,---mm
2010-10-22,Holt Ibicuy - Comisaría,---mm
2010-10-22,Mazaruca - Destacamento,---mm
2010-10-22,Villa Paranacito - Prefectura,---mm
2010-10-29,Brazo Largo - Puesto Caminero,---mm
2010-10-29,Holt Ibicuy - Comisaría,---mm
2010-10-29,Mazaruca - Destacamento,---mm
2010-10-29,Villa Paranacito - Prefectura,---mm
2010-11-04,Brazo Largo - Puesto Caminero,---mm
2010-11-04,Holt Ibicuy - Comisaría,---mm
2010-11-04,Mazaruca - Destacamento,---mm
2010-11-04,Villa Paranacito - Prefectura,---mm
2010-11-08,Brazo Largo - Puesto Caminero,---mm
2010-11-08,Holt Ibicuy - Comisaría,---mm
2010-11-08,Mazaruca - Destacamento,---mm
2010-11-08,Villa Paranacito - Prefectura,---mm
2010-11-19,Brazo Largo - Puesto Caminero,---mm
2010-11-19,Holt Ibicuy - Comisaría,---mm
2010-11-19,Mazaruca - Destacamento,---mm
2010-11-19,Villa Paranacito - Prefectura,---mm
2010-11-24,Brazo Largo - Puesto Caminero,---mm
2010-11-24,Holt Ibicuy - Comisaría,---mm
2010-11-24,Mazaruca - Destacamento,---mm
2010-11-24,Villa Paranacito - Prefectura,---mm
2010-11-27,Brazo Largo - Puesto Caminero,---mm
2010-11-27,Holt Ibicuy - Comisaría,---mm
2010-11-27,Mazaruca - Destacamento,---mm
2010-11-27,Villa Paranacito - Prefectura,---mm
2010-12-02,Brazo Largo - Puesto Caminero,1mm
2010-12-02,Holt Ibicuy - Comisaría,2mm
2010-12-02,Mazaruca - Destacamento,0mm
2010-12-02,Villa Paranacito - Prefectura,1mm
2010-12-04,Brazo Largo - Puesto Caminero,---mm
2010-12-04,Holt Ibicuy - Comisaría,---mm
2010-12-04,Mazaruca - Destacamento,---mm
2010-12-04,Villa Paranacito - Prefectura,---mm
2010-12-10,Brazo Largo - Puesto Caminero,12mm
2010-12-10,Holt Ibicuy - Comisaría,13mm
2010-12-10,Mazaruca - Destacamento,13mm
2010-12-10,Villa Paranacito - Prefectura,10mm
2010-12-11,Brazo Largo - Puesto Caminero,18mm
2010-12-11,Holt Ibicuy - Comisaría,13mm
2010-12-11,Mazaruca - Destacamento,13mm
2010-12-11,Villa Paranacito - Prefectura,18mm
2010-12-12,Brazo Largo - Puesto Caminero,4mm
2010-12-12,Holt Ibicuy - Comisaría,4mm
2010-12-12,Mazaruca - Destacamento,4mm
2010-12-12,Villa Paranacito - Prefectura,2mm
2010-12-18,Brazo Largo - Puesto Caminero,---mm
2010-12-18,Holt Ibicuy - Comisaría,---mm
2010-12-18,Mazaruca - Destacamento,---mm
2010-12-18,Villa Paranacito - Prefectura,---mm
2010-12-19,Brazo Largo - Puesto Caminero,---mm
2010-12-19,Holt Ibicuy - Comisaría,---mm
2010-12-19,Mazaruca - Destacamento,---mm
2010-12-19,Villa Paranacito - Prefectura,---mm
2011-01-25,Brazo Largo - Puesto Caminero,53mm
2011-01-25,Holt Ibicuy - Comisaría,35mm
2011-01-25,Mazaruca - Destacamento,40mm
2011-01-25,Villa Paranacito - Prefectura,35mm
2011-01-27,Brazo Largo - Puesto Caminero,---mm
2011-01-27,Holt Ibicuy - Comisaría,---mm
2011-01-27,Mazaruca - Destacamento,---mm
2011-01-27,Villa Paranacito - Prefectura,---mm
2011-01-28,Brazo Largo - Puesto Caminero,---mm
2011-01-28,Holt Ibicuy - Comisaría,---mm
2011-01-28,Mazaruca - Destacamento,---mm
2011-01-28,Villa Paranacito - Prefectura,---mm
2011-02-07,Brazo Largo - Puesto Caminero,15mm
2011-02-07,Holt Ibicuy - Comisaría,11mm
2011-02-07,Mazaruca - Destacamento,12mm
2011-02-07,Villa Paranacito - Prefectura,20mm
2011-02-09,Brazo Largo - Puesto Caminero,6mm
2011-02-09,Holt Ibicuy - Comisaría,7mm
2011-02-09,Mazaruca - Destacamento,2mm
2011-02-09,Villa Paranacito - Prefectura,3mm
2011-02-12,Brazo Largo - Puesto Caminero,---mm
2011-02-12,Holt Ibicuy - Comisaría,---mm
2011-02-12,Mazaruca - Destacamento,---mm
2011-02-12,Villa Paranacito - Prefectura,---mm
2011-02-18,Brazo Largo - Puesto Caminero,48mm
2011-02-18,Holt Ibicuy - Comisaría,50mm
2011-02-18,Mazaruca - Destacamento,50mm
2011-02-18,Villa Paranacito - Prefectura,40mm
2011-02-19,Brazo Largo - Puesto Caminero,48mm
2011-02-19,Holt Ibicuy - Comisaría,50mm
