fecha,Estación,Precipitación
2010-09-02,Alcaraz Sur - Destacamento,---mm
2010-09-02,Bovril - Comisaría,---mm
2010-09-02,Colonia Avigdor,---mm
2010-09-02,Colonia Oficial Nº 3,---mm
2010-09-02,El Carmen - Yeso Oeste,---mm
2010-09-02,El Quebracho - Destacamento Santa Elena,---mm
2010-09-02,Estacas - Destacamento 53,3mm
2010-09-02,Estaquitas - Comisaría Nº 27,---mm
2010-09-02,La Lila - Particular,---mm
2010-09-02,La Paz - Comisaría 1º,2mm
2010-09-02,La Paz - Subprefectura,3mm
2010-09-02,Las Toscas - Destacamento Nº 54,5mm
2010-09-02,Paso Telegrafo - Puesto Caminero,---mm
2010-09-02,Piedras Blancas,---mm
2010-09-02,San Gustavo - Comisaría,3mm
2010-09-02,Santa Elena - Prefectura,5mm
2010-09-02,Tacuara Ombú - Comisaría Nº 24,2mm
2010-09-02,Tacuara Yacaré - Comisaría Nº 23,11mm
2010-09-02,Villa Alcaraz - Comisaría,---mm
2010-09-02,Yeso Oeste -  Subcomisaría Nº 26,16mm
2010-09-10,Alcaraz Sur - Destacamento,---mm
2010-09-10,Bovril - Comisaría,---mm
2010-09-10,Colonia Avigdor,---mm
2010-09-10,Colonia Oficial Nº 3,---mm
2010-09-10,El Carmen - Yeso Oeste,---mm
2010-09-10,El Quebracho - Destacamento Santa Elena,10mm
2010-09-10,Estacas - Destacamento 53,5mm
2010-09-10,Estaquitas - Comisaría Nº 27,8mm
2010-09-10,La Lila - Particular,---mm
2010-09-10,La Paz - Comisaría 1º,10mm
2010-09-10,La Paz - Subprefectura,15mm
2010-09-10,Las Toscas - Destacamento Nº 54,---mm
2010-09-10,Paso Telegrafo - Puesto Caminero,10mm
2010-09-10,Piedras Blancas,---mm
2010-09-10,San Gustavo - Comisaría,10mm
2010-09-10,Santa Elena - Prefectura,---mm
2010-09-10,Tacuara Ombú - Comisaría Nº 24,7mm
2010-09-10,Tacuara Yacaré - Comisaría Nº 23,10mm
2010-09-10,Villa Alcaraz - Comisaría,---mm
2010-09-10,Yeso Oeste -  Subcomisaría Nº 26,5mm
2010-09-11,Alcaraz Sur - Destacamento,0mm
2010-09-11,Bovril - Comisaría,0mm
2010-09-11,Colonia Avigdor,0mm
2010-09-11,Colonia Oficial Nº 3,0mm
2010-09-11,El Carmen - Yeso Oeste,0mm
