fecha,Estación,Precipitación
2010-09-02,20 de Septiembre - Comisaría Nº 17,8mm
2010-09-02,Algarrobito - Comisaría Nº 1,---mm
2010-09-02,Aranguren - Comisaría,8mm
2010-09-02,Betbeder - Comisaría,8mm
2010-09-02,Crucesita 3ª - Comisaría,20mm
2010-09-02,Crucesita 7ª - Escuela Nº 87,10mm
2010-09-02,Crucesita 8ª - Comisaría Nº 27,---mm
2010-09-02,Don Cristobal 2ª - Comisaría Nº 21,11mm
2010-09-02,El Pueblito - Comisaría Nº 20,---mm
2010-09-02,Febre - Comisaría Nº 19,26mm
2010-09-02,Hernández - Comisaría,4mm
2010-09-02,La Llave - Comisaría Nº 22,---mm
2010-09-02,Lucas González - Est. Agromet. DPH,7mm
2010-09-02,Nogoyá - Puesto Caminero,---mm
2010-09-02,Sección Urquiza - Comisaría Nº 28,---mm
2010-09-10,20 de Septiembre - Comisaría Nº 17,10mm
2010-09-10,Algarrobito - Comisaría Nº 1,---mm
2010-09-10,Aranguren - Comisaría,5mm
2010-09-10,Betbeder - Comisaría,---mm
2010-09-10,Crucesita 3ª - Comisaría,2mm
2010-09-10,Crucesita 7ª - Escuela Nº 87,8mm
2010-09-10,Crucesita 8ª - Comisaría Nº 27,---mm
2010-09-10,Don Cristobal 2ª - Comisaría Nº 21,3mm
2010-09-10,El Pueblito - Comisaría Nº 20,---mm
2010-09-10,Febre - Comisaría Nº 19,---mm
2010-09-10,Hernández - Comisaría,---mm
2010-09-10,La Llave - Comisaría Nº 22,---mm
2010-09-10,Lucas González - Est. Agromet. DPH,6mm
2010-09-10,Nogoyá - Puesto Caminero,---mm
2010-09-10,Sección Urquiza - Comisaría Nº 28,---mm
2010-09-11,20 de Septiembre - Comisaría Nº 17,0mm
2010-09-11,Algarrobito - Comisaría Nº 1,0mm
2010-09-11,Aranguren - Comisaría,0mm
2010-09-11,Betbeder - Comisaría,0mm
2010-09-11,Crucesita 3ª - Comisaría,0mm
2010-09-11,Crucesita 7ª - Escuela Nº 87,0mm
2010-09-11,Crucesita 8ª - Comisaría Nº 27,0mm
2010-09-11,Don Cristobal 2ª - Comisaría Nº 21,0mm
2010-09-11,El Pueblito - Comisaría Nº 20,0mm
2010-09-11,Febre - Comisaría Nº 19,0mm
2010-09-11,Hernández - Comisaría,0mm
2010-09-11,La Llave - Comisaría Nº 22,0mm
2010-09-11,Lucas González - Est. Agromet. DPH,0mm
2010-09-11,Nogoyá - Puesto Caminero,0mm
2010-09-11,Sección Urquiza - Comisaría Nº 28,0mm
2010-09-13,20 de Septiembre - Comisaría Nº 17,1mm
2010-09-13,Algarrobito - Comisaría Nº 1,---mm
2010-09-13,Aranguren - Comisaría,2mm
2010-09-13,Betbeder - Comisaría,---mm
2010-09-13,Crucesita 3ª - Comisaría,6mm
2010-09-13,Crucesita 7ª - Escuela Nº 87,---mm
2010-09-13,Crucesita 8ª - Comisaría Nº 27,---mm
2010-09-13,Don Cristobal 2ª - Comisaría Nº 21,2mm
2010-09-13,El Pueblito - Comisaría Nº 20,---mm
2010-09-13,Febre - Comisaría Nº 19,1mm
2010-09-13,Hernández - Comisaría,---mm
2010-09-13,La Llave - Comisaría Nº 22,---mm
2010-09-13,Lucas González - Est. Agromet. DPH,2mm
2010-09-13,Nogoyá - Puesto Caminero,---mm
2010-09-13,Sección Urquiza - Comisaría Nº 28,1mm
2010-09-21,20 de Septiembre - Comisaría Nº 17,---mm
2010-09-21,Algarrobito - Comisaría Nº 1,---mm
2010-09-21,Aranguren - Comisaría,---mm
2010-09-21,Betbeder - Comisaría,---mm
2010-09-21,Crucesita 3ª - Comisaría,---mm
2010-09-21,Crucesita 7ª - Escuela Nº 87,---mm
2010-09-21,Crucesita 8ª - Comisaría Nº 27,---mm
2010-09-21,Don Cristobal 2ª - Comisaría Nº 21,---mm
2010-09-21,El Pueblito - Comisaría Nº 20,---mm
2010-09-21,Febre - Comisaría Nº 19,---mm
2010-09-21,Hernández - Comisaría,---mm
2010-09-21,La Llave - Comisaría Nº 22,---mm
2010-09-21,Lucas González - Est. Agromet. DPH,---mm
2010-09-21,Nogoyá - Puesto Caminero,---mm
