fecha,Estación,Precipitación
2010-09-02,Arroyo María - Nidia Faez,---mm
2010-09-02,Cerrito - Comisaría,28mm
2010-09-02,Curtiembre - Destacamento,---mm
2010-09-02,El Espinillo,9mm
2010-09-02,Engenfeld,10mm
2010-09-02,Hasenkamp - Comisaría,11mm
2010-09-02,Hernandarias - Comisaría,5mm
2010-09-02,La Picada,9mm
2010-09-02,Paraná - Escuela de Policía,11mm
2010-09-02,Pueblo Bellocq - Destacamento Las Garzas,---mm
2010-09-02,Pueblo Brugo - Comisaría,20mm
2010-09-02,Quebracho - El Ramblón,12mm
2010-09-02,Seguí - Comisaría,10mm
2010-09-02,Tabossi - Municipalidad,11mm
2010-09-02,Viale - Comisaría,15mm
2010-09-02,Villa Fontana - Comisaría,15mm
2010-09-02,Villa Urquiza - Comisaría,9mm
2010-09-10,Arroyo María - Nidia Faez,---mm
2010-09-10,Cerrito - Comisaría,43mm
2010-09-10,Curtiembre - Destacamento,15mm
2010-09-10,El Espinillo,17mm
2010-09-10,Engenfeld,30mm
2010-09-10,Hasenkamp - Comisaría,19mm
2010-09-10,Hernandarias - Comisaría,15mm
2010-09-10,La Picada,15mm
2010-09-10,Paraná - Escuela de Policía,14mm
2010-09-10,Pueblo Bellocq - Destacamento Las Garzas,---mm
2010-09-10,Pueblo Brugo - Comisaría,35mm
2010-09-10,Quebracho - El Ramblón,20mm
2010-09-10,Seguí - Comisaría,25mm
2010-09-10,Tabossi - Municipalidad,18mm
2010-09-10,Viale - Comisaría,26mm
2010-09-10,Villa Fontana - Comisaría,17mm
2010-09-10,Villa Urquiza - Comisaría,14mm
2010-09-11,Arroyo María - Nidia Faez,0mm
2010-09-11,Cerrito - Comisaría,0mm
2010-09-11,Curtiembre - Destacamento,0mm
2010-09-11,El Espinillo,0mm
2010-09-11,Engenfeld,0mm
2010-09-11,Hasenkamp - Comisaría,0mm
2010-09-11,Hernandarias - Comisaría,0mm
2010-09-11,La Picada,0mm
2010-09-11,Paraná - Escuela de Policía,0mm
2010-09-11,Pueblo Bellocq - Destacamento Las Garzas,0mm
2010-09-11,Pueblo Brugo - Comisaría,0mm
2010-09-11,Quebracho - El Ramblón,0mm
2010-09-11,Seguí - Comisaría,0mm
2010-09-11,Tabossi - Municipalidad,0mm
2010-09-11,Viale - Comisaría,0mm
2010-09-11,Villa Fontana - Comisaría,0mm
2010-09-11,Villa Urquiza - Comisaría,0mm
2010-09-13,Arroyo María - Nidia Faez,---mm
2010-09-13,Cerrito - Comisaría,---mm
2010-09-13,Curtiembre - Destacamento,---mm
2010-09-13,El Espinillo,---mm
2010-09-13,Engenfeld,---mm
2010-09-13,Hasenkamp - Comisaría,---mm
2010-09-13,Hernandarias - Comisaría,---mm
2010-09-13,La Picada,---mm
2010-09-13,Paraná - Escuela de Policía,---mm
2010-09-13,Pueblo Bellocq - Destacamento Las Garzas,---mm
2010-09-13,Pueblo Brugo - Comisaría,---mm
2010-09-13,Quebracho - El Ramblón,---mm
2010-09-13,Seguí - Comisaría,---mm
2010-09-13,Tabossi - Municipalidad,---mm
2010-09-13,Viale - Comisaría,---mm
2010-09-13,Villa Fontana - Comisaría,---mm
2010-09-13,Villa Urquiza - Comisaría,---mm
2010-09-21,Arroyo María - Nidia Faez,---mm
2010-09-21,Cerrito - Comisaría,---mm
2010-09-21,Curtiembre - Destacamento,---mm
2010-09-21,El Espinillo,---mm
2010-09-21,Engenfeld,---mm
2010-09-21,Hasenkamp - Comisaría,---mm
2010-09-21,Hernandarias - Comisaría,---mm
2010-09-21,La Picada,---mm
2010-09-21,Paraná - Escuela de Policía,---mm
2010-09-21,Pueblo Bellocq - Destacamento Las Garzas,---mm
2010-09-21,Pueblo Brugo - Comisaría,---mm
2010-09-21,Quebracho - El Ramblón,---mm
2010-09-21,Seguí - Comisaría,---mm
2010-09-21,Tabossi - Municipalidad,---mm
2010-09-21,Viale - Comisaría,---mm
2010-09-21,Villa Fontana - Comisaría,---mm
2010-09-21,Villa Urquiza - Comisaría,---mm
2010-09-22,Arroyo María - Nidia Faez,---mm
2010-09-22,Cerrito - Comisaría,---mm
2010-09-22,Curtiembre - Destacamento,---mm
2010-09-22,El Espinillo,---mm
2010-09-22,Engenfeld,---mm
2010-09-22,Hasenkamp - Comisaría,---mm
2010-09-22,Hernandarias - Comisaría,---mm
2010-09-22,La Picada,---mm
2010-09-22,Paraná - Escuela de Policía,---mm
2010-09-22,Pueblo Bellocq - Destacamento Las Garzas,---mm
2010-09-22,Pueblo Brugo - Comisaría,---mm
2010-09-22,Quebracho - El Ramblón,---mm
2010-09-22,Seguí - Comisaría,---mm
2010-09-22,Tabossi - Municipalidad,---mm
2010-09-22,Viale - Comisaría,---mm
2010-09-22,Villa Fontana - Comisaría,---mm
2010-09-22,Villa Urquiza - Comisaría,---mm
2010-09-27,Arroyo María - Nidia Faez,---mm
2010-09-27,Cerrito - Comisaría,---mm
2010-09-27,Curtiembre - Destacamento,---mm
2010-09-27,El Espinillo,---mm
2010-09-27,Engenfeld,---mm
2010-09-27,Hasenkamp - Comisaría,---mm
2010-09-27,Hernandarias - Comisaría,15mm
2010-09-27,La Picada,---mm
2010-09-27,Paraná - Escuela de Policía,8mm
2010-09-27,Pueblo Bellocq - Destacamento Las Garzas,---mm
2010-09-27,Pueblo Brugo - Comisaría,17mm
2010-09-27,Quebracho - El Ramblón,---mm
2010-09-27,Seguí - Comisaría,5mm
2010-09-27,Tabossi - Municipalidad,---mm
2010-09-27,Viale - Comisaría,---mm
2010-09-27,Villa Fontana - Comisaría,---mm
2010-09-27,Villa Urquiza - Comisaría,19mm
2010-09-28,Arroyo María - Nidia Faez,---mm
2010-09-28,Cerrito - Comisaría,---mm
2010-09-28,Curtiembre - Destacamento,---mm
2010-09-28,El Espinillo,---mm
2010-09-28,Engenfeld,---mm
2010-09-28,Hasenkamp - Comisaría,---mm
2010-09-28,Hernandarias - Comisaría,---mm
2010-09-28,La Picada,---mm
2010-09-28,Paraná - Escuela de Policía,---mm
2010-09-28,Pueblo Bellocq - Destacamento Las Garzas,---mm
2010-09-28,Pueblo Brugo - Comisaría,---mm
2010-09-28,Quebracho - El Ramblón,---mm
2010-09-28,Seguí - Comisaría,---mm
2010-09-28,Tabossi - Municipalidad,---mm
2010-09-28,Viale - Comisaría,---mm
2010-09-28,Villa Fontana - Comisaría,---mm
2010-09-28,Villa Urquiza - Comisaría,---mm
2010-10-01,Arroyo María - Nidia Faez,---mm
2010-10-01,Cerrito - Comisaría,4mm
2010-10-01,Curtiembre - Destacamento,6mm
2010-10-01,El Espinillo,9mm
2010-10-01,Engenfeld,7mm
2010-10-01,Hasenkamp - Comisaría,4mm
2010-10-01,Hernandarias - Comisaría,8mm
2010-10-01,La Picada,7mm
2010-10-01,Paraná - Escuela de Policía,2mm
2010-10-01,Pueblo Bellocq - Destacamento Las Garzas,---mm
2010-10-01,Pueblo Brugo - Comisaría,7mm
2010-10-01,Quebracho - El Ramblón,6mm
2010-10-01,Seguí - Comisaría,8mm
2010-10-01,Tabossi - Municipalidad,5mm
2010-10-01,Viale - Comisaría,9mm
2010-10-01,Villa Fontana - Comisaría,5mm
2010-10-01,Villa Urquiza - Comisaría,6mm
2010-10-06,Arroyo María - Nidia Faez,---mm
2010-10-06,Cerrito - Comisaría,10mm
2010-10-06,Curtiembre - Destacamento,7mm
2010-10-06,El Espinillo,---mm
2010-10-06,Engenfeld,---mm
2010-10-06,Hasenkamp - Comisaría,---mm
2010-10-06,Hernandarias - Comisaría,---mm
2010-10-06,La Picada,---mm
2010-10-06,Paraná - Escuela de Policía,5mm
2010-10-06,Pueblo Bellocq - Destacamento Las Garzas,---mm
2010-10-06,Pueblo Brugo - Comisaría,---mm
2010-10-06,Quebracho - El Ramblón,---mm
2010-10-06,Seguí - Comisaría,---mm
2010-10-06,Tabossi - Municipalidad,---mm
2010-10-06,Viale - Comisaría,---mm
2010-10-06,Villa Fontana - Comisaría,---mm
2010-10-06,Villa Urquiza - Comisaría,11mm
2010-10-14,Arroyo María - Nidia Faez,---mm
2010-10-14,Cerrito - Comisaría,---mm
2010-10-14,Curtiembre - Destacamento,---mm
2010-10-14,El Espinillo,---mm
2010-10-14,Engenfeld,---mm
2010-10-14,Hasenkamp - Comisaría,---mm
2010-10-14,Hernandarias - Comisaría,---mm
2010-10-14,La Picada,---mm
2010-10-14,Paraná - Escuela de Policía,---mm
2010-10-14,Pueblo Bellocq - Destacamento Las Garzas,---mm
2010-10-14,Pueblo Brugo - Comisaría,---mm
2010-10-14,Quebracho - El Ramblón,---mm
2010-10-14,Seguí - Comisaría,---mm
2010-10-14,Tabossi - Municipalidad,---mm
2010-10-14,Viale - Comisaría,---mm
2010-10-14,Villa Fontana - Comisaría,---mm
2010-10-14,Villa Urquiza - Comisaría,---mm
2010-10-22,Arroyo María - Nidia Faez,---mm
2010-10-22,Cerrito - Comisaría,---mm
2010-10-22,Curtiembre - Destacamento,---mm
2010-10-22,El Espinillo,---mm
2010-10-22,Engenfeld,---mm
2010-10-22,Hasenkamp - Comisaría,---mm
2010-10-22,Hernandarias - Comisaría,---mm
2010-10-22,La Picada,---mm
2010-10-22,Paraná - Escuela de Policía,15mm
2010-10-22,Pueblo Bellocq - Destacamento Las Garzas,---mm
2010-10-22,Pueblo Brugo - Comisaría,---mm
2010-10-22,Quebracho - El Ramblón,---mm
2010-10-22,Seguí - Comisaría,---mm
2010-10-22,Tabossi - Municipalidad,---mm
2010-10-22,Viale - Comisaría,---mm
2010-10-22,Villa Fontana - Comisaría,---mm
2010-10-22,Villa Urquiza - Comisaría,---mm
2010-10-29,Arroyo María - Nidia Faez,---mm
2010-10-29,Cerrito - Comisaría,---mm
2010-10-29,Curtiembre - Destacamento,---mm
2010-10-29,El Espinillo,14mm
2010-10-29,Engenfeld,---mm
2010-10-29,Hasenkamp - Comisaría,16mm
2010-10-29,Hernandarias - Comisaría,11mm
2010-10-29,La Picada,---mm
2010-10-29,Paraná - Escuela de Policía,5mm
2010-10-29,Pueblo Bellocq - Destacamento Las Garzas,---mm
2010-10-29,Pueblo Brugo - Comisaría,22mm
2010-10-29,Quebracho - El Ramblón,21mm
2010-10-29,Seguí - Comisaría,---mm
2010-10-29,Tabossi - Municipalidad,20mm
2010-10-29,Viale - Comisaría,---mm
2010-10-29,Villa Fontana - Comisaría,---mm
2010-10-29,Villa Urquiza - Comisaría,10mm
2010-11-04,Arroyo María - Nidia Faez,---mm
2010-11-04,Cerrito - Comisaría,---mm
2010-11-04,Curtiembre - Destacamento,---mm
2010-11-04,El Espinillo,---mm
2010-11-04,Engenfeld,---mm
2010-11-04,Hasenkamp - Comisaría,---mm
2010-11-04,Hernandarias - Comisaría,---mm
2010-11-04,La Picada,---mm
2010-11-04,Paraná - Escuela de Policía,---mm
2010-11-04,Pueblo Bellocq - Destacamento Las Garzas,---mm
2010-11-04,Pueblo Brugo - Comisaría,---mm
2010-11-04,Quebracho - El Ramblón,---mm
2010-11-04,Seguí - Comisaría,---mm
2010-11-04,Tabossi - Municipalidad,---mm
2010-11-04,Viale - Comisaría,---mm
2010-11-04,Villa Fontana - Comisaría,---mm
