fecha,Estación,Precipitación
2010-09-02,General Campos - Comisaría,10mm
2010-09-02,San Salvador - Comisaría,5mm
2010-09-10,General Campos - Comisaría,5mm
2010-09-10,San Salvador - Comisaría,6mm
2010-09-11,General Campos - Comisaría,0mm
2010-09-11,San Salvador - Comisaría,0mm
2010-09-13,General Campos - Comisaría,27mm
2010-09-13,San Salvador - Comisaría,25mm
2010-09-21,General Campos - Comisaría,---mm
2010-09-21,San Salvador - Comisaría,---mm
2010-09-22,General Campos - Comisaría,---mm
2010-09-22,San Salvador - Comisaría,---mm
2010-09-27,General Campos - Comisaría,---mm
2010-09-27,San Salvador - Comisaría,2mm
2010-09-28,General Campos - Comisaría,---mm
2010-09-28,San Salvador - Comisaría,---mm
2010-10-01,General Campos - Comisaría,---mm
2010-10-01,San Salvador - Comisaría,---mm
2010-10-06,General Campos - Comisaría,6mm
2010-10-06,San Salvador - Comisaría,4mm
2010-10-14,General Campos - Comisaría,---mm
2010-10-14,San Salvador - Comisaría,---mm
2010-10-22,General Campos - Comisaría,---mm
2010-10-22,San Salvador - Comisaría,---mm
2010-10-29,General Campos - Comisaría,18mm
2010-10-29,San Salvador - Comisaría,24mm
2010-11-04,General Campos - Comisaría,---mm
2010-11-04,San Salvador - Comisaría,---mm
2010-11-08,General Campos - Comisaría,40mm
2010-11-08,San Salvador - Comisaría,47mm
2010-11-19,General Campos - Comisaría,---mm
2010-11-19,San Salvador - Comisaría,---mm
2010-11-24,General Campos - Comisaría,---mm
2010-11-24,San Salvador - Comisaría,---mm
2010-11-27,General Campos - Comisaría,10mm
2010-11-27,San Salvador - Comisaría,11mm
2010-12-02,General Campos - Comisaría,---mm
2010-12-02,San Salvador - Comisaría,---mm
2010-12-04,General Campos - Comisaría,---mm
2010-12-04,San Salvador - Comisaría,---mm
2010-12-10,General Campos - Comisaría,---mm
2010-12-10,San Salvador - Comisaría,---mm
2010-12-11,General Campos - Comisaría,---mm
2010-12-11,San Salvador - Comisaría,---mm
2010-12-12,General Campos - Comisaría,4mm
2010-12-12,San Salvador - Comisaría,8mm
2010-12-18,General Campos - Comisaría,5mm
2010-12-18,San Salvador - Comisaría,---mm
2010-12-19,General Campos - Comisaría,13mm
2010-12-19,San Salvador - Comisaría,22mm
2011-01-25,General Campos - Comisaría,25mm
2011-01-25,San Salvador - Comisaría,39mm
2011-01-27,General Campos - Comisaría,---mm
2011-01-27,San Salvador - Comisaría,---mm
2011-01-28,General Campos - Comisaría,---mm
2011-01-28,San Salvador - Comisaría,---mm
2011-02-07,General Campos - Comisaría,24mm
2011-02-07,San Salvador - Comisaría,44mm
2011-02-09,General Campos - Comisaría,5mm
2011-02-09,San Salvador - Comisaría,4mm
2011-02-12,General Campos - Comisaría,---mm
2011-02-12,San Salvador - Comisaría,---mm
2011-02-18,General Campos - Comisaría,---mm
2011-02-18,San Salvador - Comisaría,---mm
2011-02-19,General Campos - Comisaría,---mm
2011-02-19,San Salvador - Comisaría,---mm
2011-02-20,General Campos - Comisaría,---mm
2011-02-20,San Salvador - Comisaría,---mm
2011-02-21,General Campos - Comisaría,---mm
2011-02-21,San Salvador - Comisaría,---mm
2011-02-22,General Campos - Comisaría,27mm
2011-02-22,San Salvador - Comisaría,22mm
2011-02-23,General Campos - Comisaría,4mm
2011-02-23,San Salvador - Comisaría,3mm
2011-03-12,General Campos - Comisaría,17mm
2011-03-12,San Salvador - Comisaría,18mm
2011-03-16,General Campos - Comisaría,---mm
2011-03-16,San Salvador - Comisaría,---mm
2011-03-17,General Campos - Comisaría,3mm
2011-03-17,San Salvador - Comisaría,3mm
2011-03-23,General Campos - Comisaría,10mm
2011-03-23,San Salvador - Comisaría,9mm
2011-03-24,General Campos - Comisaría,100mm
2011-03-24,San Salvador - Comisaría,68mm
2011-03-26,General Campos - Comisaría,---mm
2011-03-26,San Salvador - Comisaría,---mm
2011-04-02,General Campos - Comisaría,---mm
2011-04-02,San Salvador - Comisaría,---mm
2011-04-03,General Campos - Comisaría,---mm
2011-04-03,San Salvador - Comisaría,---mm
2011-04-13,General Campos - Comisaría,---mm
2011-04-13,San Salvador - Comisaría,---mm
2011-04-14,General Campos - Comisaría,2mm
2011-04-14,San Salvador - Comisaría,2mm
2011-04-15,General Campos - Comisaría,2mm
2011-04-15,San Salvador - Comisaría,2mm
2011-04-17,General Campos - Comisaría,10mm
2011-04-17,San Salvador - Comisaría,5mm
2011-04-20,General Campos - Comisaría,40mm
2011-04-20,San Salvador - Comisaría,35mm
2011-04-21,General Campos - Comisaría,50mm
2011-04-21,San Salvador - Comisaría,46mm
2011-04-29,General Campos - Comisaría,9mm
2011-04-29,San Salvador - Comisaría,22mm
2011-05-01,General Campos - Comisaría,5mm
2011-05-01,San Salvador - Comisaría,4mm
2011-05-14,General Campos - Comisaría,16mm
2011-05-14,San Salvador - Comisaría,20mm
2011-05-15,General Campos - Comisaría,---mm
2011-05-15,San Salvador - Comisaría,---mm
2011-05-22,General Campos - Comisaría,5mm
2011-05-22,San Salvador - Comisaría,7mm
2011-05-24,General Campos - Comisaría,56mm
2011-05-24,San Salvador - Comisaría,63mm
2011-05-25,General Campos - Comisaría,---mm
2011-05-25,San Salvador - Comisaría,---mm
2011-06-06,General Campos - Comisaría,20mm
2011-06-06,San Salvador - Comisaría,19mm
2011-06-15,General Campos - Comisaría,---mm
2011-06-15,San Salvador - Comisaría,---mm
2011-06-17,General Campos - Comisaría,---mm
2011-06-17,San Salvador - Comisaría,---mm
2011-06-20,General Campos - Comisaría,3mm
2011-06-20,San Salvador - Comisaría,2mm
2011-06-21,General Campos - Comisaría,3mm
2011-06-21,San Salvador - Comisaría,2mm
2011-06-22,General Campos - Comisaría,14mm
2011-06-22,San Salvador - Comisaría,10mm
2011-07-13,General Campos - Comisaría,4mm
2011-07-13,San Salvador - Comisaría,8mm
2011-07-15,General Campos - Comisaría,18mm
2011-07-15,San Salvador - Comisaría,21mm
2011-07-16,General Campos - Comisaría,55mm
2011-07-16,San Salvador - Comisaría,48mm
2011-07-18,General Campos - Comisaría,---mm
2011-07-18,San Salvador - Comisaría,---mm
2011-07-25,General Campos - Comisaría,---mm
2011-07-25,San Salvador - Comisaría,---mm
2011-07-27,General Campos - Comisaría,---mm
2011-07-27,San Salvador - Comisaría,---mm
2011-07-29,General Campos - Comisaría,---mm
2011-07-29,San Salvador - Comisaría,---mm
2011-08-01,General Campos - Comisaría,60mm
2011-08-01,San Salvador - Comisaría,55mm
2011-08-15,General Campos - Comisaría,28mm
2011-08-15,San Salvador - Comisaría,16mm
2011-08-16,General Campos - Comisaría,5mm
2011-08-16,San Salvador - Comisaría,11mm
2011-08-18,General Campos - Comisaría,1mm
2011-08-18,San Salvador - Comisaría,1mm
2011-08-27,General Campos - Comisaría,14mm
2011-08-27,San Salvador - Comisaría,18mm
2011-09-16,General Campos - Comisaría,22mm
