fecha,Estación,Precipitación
2010-09-02,Durazno - Comisaría,4mm
2010-09-02,Gdor Echagüe - Comisaría,5mm
2010-09-02,Gdor Mansilla - Comisaría,5mm
2010-09-02,Gdor. Maciá - Comisaría,11mm
2010-09-02,Rosario del Tala - OSM,8mm
2010-09-02,Sauce Norte,7mm
2010-09-02,Tala - Ciudad,8mm
2010-09-10,Durazno - Comisaría,18mm
2010-09-10,Gdor Echagüe - Comisaría,24mm
2010-09-10,Gdor Mansilla - Comisaría,30mm
2010-09-10,Gdor. Maciá - Comisaría,21mm
2010-09-10,Rosario del Tala - OSM,35mm
2010-09-10,Sauce Norte,24mm
2010-09-10,Tala - Ciudad,35mm
2010-09-11,Durazno - Comisaría,0mm
2010-09-11,Gdor Echagüe - Comisaría,0mm
2010-09-11,Gdor Mansilla - Comisaría,0mm
2010-09-11,Gdor. Maciá - Comisaría,0mm
2010-09-11,Rosario del Tala - OSM,0mm
2010-09-11,Sauce Norte,0mm
2010-09-11,Tala - Ciudad,0mm
2010-09-13,Durazno - Comisaría,3mm
2010-09-13,Gdor Echagüe - Comisaría,4mm
2010-09-13,Gdor Mansilla - Comisaría,9mm
2010-09-13,Gdor. Maciá - Comisaría,12mm
2010-09-13,Rosario del Tala - OSM,8mm
2010-09-13,Sauce Norte,6mm
2010-09-13,Tala - Ciudad,8mm
2010-09-21,Durazno - Comisaría,---mm
2010-09-21,Gdor Echagüe - Comisaría,---mm
2010-09-21,Gdor Mansilla - Comisaría,---mm
2010-09-21,Gdor. Maciá - Comisaría,---mm
2010-09-21,Rosario del Tala - OSM,---mm
2010-09-21,Sauce Norte,---mm
2010-09-21,Tala - Ciudad,---mm
2010-09-22,Durazno - Comisaría,---mm
2010-09-22,Gdor Echagüe - Comisaría,---mm
2010-09-22,Gdor Mansilla - Comisaría,---mm
2010-09-22,Gdor. Maciá - Comisaría,---mm
2010-09-22,Rosario del Tala - OSM,---mm
2010-09-22,Sauce Norte,---mm
2010-09-22,Tala - Ciudad,---mm
2010-09-27,Durazno - Comisaría,15mm
2010-09-27,Gdor Echagüe - Comisaría,11mm
2010-09-27,Gdor Mansilla - Comisaría,12mm
2010-09-27,Gdor. Maciá - Comisaría,15mm
2010-09-27,Rosario del Tala - OSM,13mm
2010-09-27,Sauce Norte,15mm
2010-09-27,Tala - Ciudad,13mm
2010-09-28,Durazno - Comisaría,---mm
2010-09-28,Gdor Echagüe - Comisaría,---mm
2010-09-28,Gdor Mansilla - Comisaría,---mm
2010-09-28,Gdor. Maciá - Comisaría,---mm
2010-09-28,Rosario del Tala - OSM,---mm
2010-09-28,Sauce Norte,---mm
2010-09-28,Tala - Ciudad,---mm
2010-10-01,Durazno - Comisaría,3mm
2010-10-01,Gdor Echagüe - Comisaría,1mm
2010-10-01,Gdor Mansilla - Comisaría,1mm
2010-10-01,Gdor. Maciá - Comisaría,1mm
2010-10-01,Rosario del Tala - OSM,3mm
2010-10-01,Sauce Norte,1mm
2010-10-01,Tala - Ciudad,3mm
2010-10-06,Durazno - Comisaría,---mm
2010-10-06,Gdor Echagüe - Comisaría,---mm
2010-10-06,Gdor Mansilla - Comisaría,---mm
2010-10-06,Gdor. Maciá - Comisaría,---mm
2010-10-06,Rosario del Tala - OSM,---mm
2010-10-06,Sauce Norte,---mm
2010-10-06,Tala - Ciudad,---mm
2010-10-14,Durazno - Comisaría,---mm
2010-10-14,Gdor Echagüe - Comisaría,---mm
2010-10-14,Gdor Mansilla - Comisaría,---mm
