fecha,Estación,Precipitación
2010-09-02,Basavilbaso - Comisaría,20mm
2010-09-02,Colonia Elias - Comisaría,7mm
2010-09-02,Estación Herrera - Comisaría,22mm
2010-09-02,Las Moscas - Subcomisaría,8mm
2010-09-02,Libaros - Subcomisaría,9mm
2010-09-02,Pronunciamiento - Comisaría,8mm
2010-09-02,Santa Anita - Comisaría,9mm
2010-09-02,Uruguay - Ciudad,2mm
2010-09-02,Villa Mantero - Comisaría,13mm
2010-09-10,Basavilbaso - Comisaría,32mm
2010-09-10,Colonia Elias - Comisaría,20mm
2010-09-10,Estación Herrera - Comisaría,32mm
2010-09-10,Las Moscas - Subcomisaría,25mm
2010-09-10,Libaros - Subcomisaría,30mm
2010-09-10,Pronunciamiento - Comisaría,21mm
2010-09-10,Santa Anita - Comisaría,19mm
2010-09-10,Uruguay - Ciudad,34mm
2010-09-10,Villa Mantero - Comisaría,52mm
2010-09-11,Basavilbaso - Comisaría,0mm
2010-09-11,Colonia Elias - Comisaría,0mm
2010-09-11,Estación Herrera - Comisaría,0mm
2010-09-11,Las Moscas - Subcomisaría,0mm
2010-09-11,Libaros - Subcomisaría,0mm
2010-09-11,Pronunciamiento - Comisaría,0mm
2010-09-11,Santa Anita - Comisaría,0mm
2010-09-11,Uruguay - Ciudad,0mm
2010-09-11,Villa Mantero - Comisaría,0mm
2010-09-13,Basavilbaso - Comisaría,18mm
2010-09-13,Colonia Elias - Comisaría,10mm
2010-09-13,Estación Herrera - Comisaría,20mm
2010-09-13,Las Moscas - Subcomisaría,18mm
2010-09-13,Libaros - Subcomisaría,15mm
2010-09-13,Pronunciamiento - Comisaría,21mm
2010-09-13,Santa Anita - Comisaría,18mm
2010-09-13,Uruguay - Ciudad,16mm
2010-09-13,Villa Mantero - Comisaría,15mm
2010-09-21,Basavilbaso - Comisaría,---mm
2010-09-21,Colonia Elias - Comisaría,---mm
2010-09-21,Estación Herrera - Comisaría,---mm
2010-09-21,Las Moscas - Subcomisaría,---mm
2010-09-21,Libaros - Subcomisaría,---mm
2010-09-21,Pronunciamiento - Comisaría,---mm
2010-09-21,Santa Anita - Comisaría,---mm
2010-09-21,Uruguay - Ciudad,---mm
2010-09-21,Villa Mantero - Comisaría,---mm
2010-09-22,Basavilbaso - Comisaría,---mm
2010-09-22,Colonia Elias - Comisaría,---mm
2010-09-22,Estación Herrera - Comisaría,---mm
2010-09-22,Las Moscas - Subcomisaría,---mm
2010-09-22,Libaros - Subcomisaría,---mm
2010-09-22,Pronunciamiento - Comisaría,---mm
2010-09-22,Santa Anita - Comisaría,---mm
2010-09-22,Uruguay - Ciudad,---mm
2010-09-22,Villa Mantero - Comisaría,---mm
2010-09-27,Basavilbaso - Comisaría,---mm
2010-09-27,Colonia Elias - Comisaría,---mm
2010-09-27,Estación Herrera - Comisaría,---mm
2010-09-27,Las Moscas - Subcomisaría,---mm
2010-09-27,Libaros - Subcomisaría,---mm
2010-09-27,Pronunciamiento - Comisaría,---mm
2010-09-27,Santa Anita - Comisaría,---mm
2010-09-27,Uruguay - Ciudad,---mm
2010-09-27,Villa Mantero - Comisaría,---mm
2010-09-28,Basavilbaso - Comisaría,---mm
2010-09-28,Colonia Elias - Comisaría,---mm
2010-09-28,Estación Herrera - Comisaría,---mm
2010-09-28,Las Moscas - Subcomisaría,---mm
2010-09-28,Libaros - Subcomisaría,---mm
2010-09-28,Pronunciamiento - Comisaría,---mm
2010-09-28,Santa Anita - Comisaría,---mm
2010-09-28,Uruguay - Ciudad,---mm
2010-09-28,Villa Mantero - Comisaría,---mm
2010-10-01,Basavilbaso - Comisaría,---mm
2010-10-01,Colonia Elias - Comisaría,---mm
2010-10-01,Estación Herrera - Comisaría,---mm
2010-10-01,Las Moscas - Subcomisaría,---mm
2010-10-01,Libaros - Subcomisaría,---mm
2010-10-01,Pronunciamiento - Comisaría,---mm
2010-10-01,Santa Anita - Comisaría,---mm
2010-10-01,Uruguay - Ciudad,---mm
2010-10-01,Villa Mantero - Comisaría,---mm
2010-10-06,Basavilbaso - Comisaría,---mm
2010-10-06,Colonia Elias - Comisaría,---mm
2010-10-06,Estación Herrera - Comisaría,---mm
2010-10-06,Las Moscas - Subcomisaría,---mm
2010-10-06,Libaros - Subcomisaría,---mm
2010-10-06,Pronunciamiento - Comisaría,---mm
2010-10-06,Santa Anita - Comisaría,---mm
2010-10-06,Uruguay - Ciudad,---mm
2010-10-06,Villa Mantero - Comisaría,---mm
2010-10-14,Basavilbaso - Comisaría,---mm
2010-10-14,Colonia Elias - Comisaría,---mm
2010-10-14,Estación Herrera - Comisaría,---mm
2010-10-14,Las Moscas - Subcomisaría,---mm
2010-10-14,Libaros - Subcomisaría,---mm
2010-10-14,Pronunciamiento - Comisaría,---mm
2010-10-14,Santa Anita - Comisaría,---mm
2010-10-14,Uruguay - Ciudad,---mm
2010-10-14,Villa Mantero - Comisaría,---mm
2010-10-22,Basavilbaso - Comisaría,---mm
2010-10-22,Colonia Elias - Comisaría,---mm
2010-10-22,Estación Herrera - Comisaría,---mm
2010-10-22,Las Moscas - Subcomisaría,---mm
2010-10-22,Libaros - Subcomisaría,---mm
2010-10-22,Pronunciamiento - Comisaría,---mm
2010-10-22,Santa Anita - Comisaría,---mm
2010-10-22,Uruguay - Ciudad,---mm
2010-10-22,Villa Mantero - Comisaría,---mm
2010-10-29,Basavilbaso - Comisaría,28mm
2010-10-29,Colonia Elias - Comisaría,27mm
2010-10-29,Estación Herrera - Comisaría,24mm
2010-10-29,Las Moscas - Subcomisaría,26mm
2010-10-29,Libaros - Subcomisaría,27mm
2010-10-29,Pronunciamiento - Comisaría,15mm
2010-10-29,Santa Anita - Comisaría,26mm
2010-10-29,Uruguay - Ciudad,19mm
2010-10-29,Villa Mantero - Comisaría,27mm
2010-11-04,Basavilbaso - Comisaría,---mm
2010-11-04,Colonia Elias - Comisaría,---mm
2010-11-04,Estación Herrera - Comisaría,---mm
2010-11-04,Las Moscas - Subcomisaría,---mm
2010-11-04,Libaros - Subcomisaría,---mm
2010-11-04,Pronunciamiento - Comisaría,---mm
2010-11-04,Santa Anita - Comisaría,---mm
2010-11-04,Uruguay - Ciudad,---mm
2010-11-04,Villa Mantero - Comisaría,---mm
2010-11-08,Basavilbaso - Comisaría,20mm
2010-11-08,Colonia Elias - Comisaría,20mm
2010-11-08,Estación Herrera - Comisaría,20mm
2010-11-08,Las Moscas - Subcomisaría,19mm
2010-11-08,Libaros - Subcomisaría,21mm
2010-11-08,Pronunciamiento - Comisaría,20mm
2010-11-08,Santa Anita - Comisaría,18mm
2010-11-08,Uruguay - Ciudad,19mm
2010-11-08,Villa Mantero - Comisaría,21mm
2010-11-19,Basavilbaso - Comisaría,---mm
2010-11-19,Colonia Elias - Comisaría,---mm
2010-11-19,Estación Herrera - Comisaría,---mm
2010-11-19,Las Moscas - Subcomisaría,---mm
2010-11-19,Libaros - Subcomisaría,---mm
2010-11-19,Pronunciamiento - Comisaría,---mm
2010-11-19,Santa Anita - Comisaría,---mm
2010-11-19,Uruguay - Ciudad,---mm
2010-11-19,Villa Mantero - Comisaría,---mm
2010-11-24,Basavilbaso - Comisaría,---mm
2010-11-24,Colonia Elias - Comisaría,---mm
2010-11-24,Estación Herrera - Comisaría,---mm
2010-11-24,Las Moscas - Subcomisaría,---mm
2010-11-24,Libaros - Subcomisaría,---mm
2010-11-24,Pronunciamiento - Comisaría,---mm
2010-11-24,Santa Anita - Comisaría,---mm
2010-11-24,Uruguay - Ciudad,---mm
2010-11-24,Villa Mantero - Comisaría,---mm
2010-11-27,Basavilbaso - Comisaría,---mm
2010-11-27,Colonia Elias - Comisaría,---mm
2010-11-27,Estación Herrera - Comisaría,---mm
2010-11-27,Las Moscas - Subcomisaría,---mm
2010-11-27,Libaros - Subcomisaría,---mm
2010-11-27,Pronunciamiento - Comisaría,---mm
2010-11-27,Santa Anita - Comisaría,---mm
2010-11-27,Uruguay - Ciudad,---mm
2010-11-27,Villa Mantero - Comisaría,---mm
2010-12-02,Basavilbaso - Comisaría,4mm
2010-12-02,Colonia Elias - Comisaría,5mm
2010-12-02,Estación Herrera - Comisaría,4mm
2010-12-02,Las Moscas - Subcomisaría,2mm
2010-12-02,Libaros - Subcomisaría,2mm
