fecha,Estación,Precipitación
2010-09-02,Antelo - Sara de Muzzio,20mm
2010-09-02,Hinojal - Comisaría Nº 23,---mm
2010-09-02,Laguna del Pescado - Brigada Abigeato,21mm
2010-09-02,Montoya - Comisaría Nº 20,63mm
2010-09-02,Pajonal,17mm
2010-09-02,Rincón del Nogoyá - Comisaría Nº 17,27mm
2010-09-10,Antelo - Sara de Muzzio,23mm
2010-09-10,Hinojal - Comisaría Nº 23,20mm
2010-09-10,Laguna del Pescado - Brigada Abigeato,21mm
2010-09-10,Montoya - Comisaría Nº 20,---mm
2010-09-10,Pajonal,19mm
2010-09-10,Rincón del Nogoyá - Comisaría Nº 17,27mm
2010-09-11,Antelo - Sara de Muzzio,0mm
2010-09-11,Hinojal - Comisaría Nº 23,0mm
2010-09-11,Laguna del Pescado - Brigada Abigeato,0mm
2010-09-11,Montoya - Comisaría Nº 20,0mm
2010-09-11,Pajonal,0mm
2010-09-11,Rincón del Nogoyá - Comisaría Nº 17,0mm
2010-09-13,Antelo - Sara de Muzzio,---mm
2010-09-13,Hinojal - Comisaría Nº 23,---mm
2010-09-13,Laguna del Pescado - Brigada Abigeato,---mm
2010-09-13,Montoya - Comisaría Nº 20,---mm
2010-09-13,Pajonal,---mm
2010-09-13,Rincón del Nogoyá - Comisaría Nº 17,---mm
2010-09-21,Antelo - Sara de Muzzio,---mm
2010-09-21,Hinojal - Comisaría Nº 23,---mm
2010-09-21,Laguna del Pescado - Brigada Abigeato,---mm
2010-09-21,Montoya - Comisaría Nº 20,---mm
2010-09-21,Pajonal,---mm
2010-09-21,Rincón del Nogoyá - Comisaría Nº 17,---mm
2010-09-22,Antelo - Sara de Muzzio,---mm
2010-09-22,Hinojal - Comisaría Nº 23,---mm
2010-09-22,Laguna del Pescado - Brigada Abigeato,---mm
2010-09-22,Montoya - Comisaría Nº 20,---mm
2010-09-22,Pajonal,---mm
2010-09-22,Rincón del Nogoyá - Comisaría Nº 17,---mm
2010-09-27,Antelo - Sara de Muzzio,20mm
2010-09-27,Hinojal - Comisaría Nº 23,16mm
2010-09-27,Laguna del Pescado - Brigada Abigeato,18mm
2010-09-27,Montoya - Comisaría Nº 20,---mm
2010-09-27,Pajonal,18mm
2010-09-27,Rincón del Nogoyá - Comisaría Nº 17,18mm
2010-09-28,Antelo - Sara de Muzzio,---mm
2010-09-28,Hinojal - Comisaría Nº 23,---mm
2010-09-28,Laguna del Pescado - Brigada Abigeato,---mm
2010-09-28,Montoya - Comisaría Nº 20,---mm
2010-09-28,Pajonal,---mm
2010-09-28,Rincón del Nogoyá - Comisaría Nº 17,---mm
2010-10-01,Antelo - Sara de Muzzio,2mm
2010-10-01,Hinojal - Comisaría Nº 23,2mm
2010-10-01,Laguna del Pescado - Brigada Abigeato,2mm
2010-10-01,Montoya - Comisaría Nº 20,---mm
2010-10-01,Pajonal,31mm
2010-10-01,Rincón del Nogoyá - Comisaría Nº 17,4mm
2010-10-06,Antelo - Sara de Muzzio,14mm
2010-10-06,Hinojal - Comisaría Nº 23,10mm
2010-10-06,Laguna del Pescado - Brigada Abigeato,13mm
2010-10-06,Montoya - Comisaría Nº 20,---mm
2010-10-06,Pajonal,19mm
2010-10-06,Rincón del Nogoyá - Comisaría Nº 17,14mm
2010-10-14,Antelo - Sara de Muzzio,---mm
2010-10-14,Hinojal - Comisaría Nº 23,---mm
2010-10-14,Laguna del Pescado - Brigada Abigeato,---mm
2010-10-14,Montoya - Comisaría Nº 20,---mm
2010-10-14,Pajonal,---mm
2010-10-14,Rincón del Nogoyá - Comisaría Nº 17,---mm
2010-10-22,Antelo - Sara de Muzzio,---mm
2010-10-22,Hinojal - Comisaría Nº 23,---mm
2010-10-22,Laguna del Pescado - Brigada Abigeato,---mm
2010-10-22,Montoya - Comisaría Nº 20,---mm
2010-10-22,Pajonal,---mm
2010-10-22,Rincón del Nogoyá - Comisaría Nº 17,---mm
2010-10-29,Antelo - Sara de Muzzio,---mm
2010-10-29,Hinojal - Comisaría Nº 23,---mm
2010-10-29,Laguna del Pescado - Brigada Abigeato,---mm
2010-10-29,Montoya - Comisaría Nº 20,---mm
2010-10-29,Pajonal,---mm
2010-10-29,Rincón del Nogoyá - Comisaría Nº 17,---mm
2010-11-04,Antelo - Sara de Muzzio,9mm
2010-11-04,Hinojal - Comisaría Nº 23,6mm
2010-11-04,Laguna del Pescado - Brigada Abigeato,5mm
2010-11-04,Montoya - Comisaría Nº 20,---mm
2010-11-04,Pajonal,7mm
2010-11-04,Rincón del Nogoyá - Comisaría Nº 17,8mm
2010-11-08,Antelo - Sara de Muzzio,12mm
2010-11-08,Hinojal - Comisaría Nº 23,20mm
2010-11-08,Laguna del Pescado - Brigada Abigeato,17mm
2010-11-08,Montoya - Comisaría Nº 20,---mm
2010-11-08,Pajonal,22mm
2010-11-08,Rincón del Nogoyá - Comisaría Nº 17,28mm
2010-11-19,Antelo - Sara de Muzzio,---mm
2010-11-19,Hinojal - Comisaría Nº 23,---mm
2010-11-19,Laguna del Pescado - Brigada Abigeato,---mm
2010-11-19,Montoya - Comisaría Nº 20,---mm
2010-11-19,Pajonal,---mm
2010-11-19,Rincón del Nogoyá - Comisaría Nº 17,---mm
2010-11-24,Antelo - Sara de Muzzio,---mm
2010-11-24,Hinojal - Comisaría Nº 23,---mm
2010-11-24,Laguna del Pescado - Brigada Abigeato,---mm
2010-11-24,Montoya - Comisaría Nº 20,---mm
2010-11-24,Pajonal,---mm
2010-11-24,Rincón del Nogoyá - Comisaría Nº 17,---mm
2010-11-27,Antelo - Sara de Muzzio,2mm
2010-11-27,Hinojal - Comisaría Nº 23,3mm
2010-11-27,Laguna del Pescado - Brigada Abigeato,1mm
2010-11-27,Montoya - Comisaría Nº 20,---mm
2010-11-27,Pajonal,---mm
2010-11-27,Rincón del Nogoyá - Comisaría Nº 17,1mm
2010-12-02,Antelo - Sara de Muzzio,7mm
2010-12-02,Hinojal - Comisaría Nº 23,15mm
2010-12-02,Laguna del Pescado - Brigada Abigeato,15mm
2010-12-02,Montoya - Comisaría Nº 20,---mm
2010-12-02,Pajonal,12mm
2010-12-02,Rincón del Nogoyá - Comisaría Nº 17,15mm
2010-12-04,Antelo - Sara de Muzzio,18mm
2010-12-04,Hinojal - Comisaría Nº 23,5mm
2010-12-04,Laguna del Pescado - Brigada Abigeato,23mm
2010-12-04,Montoya - Comisaría Nº 20,---mm
2010-12-04,Pajonal,11mm
2010-12-04,Rincón del Nogoyá - Comisaría Nº 17,35mm
2010-12-10,Antelo - Sara de Muzzio,---mm
2010-12-10,Hinojal - Comisaría Nº 23,---mm
2010-12-10,Laguna del Pescado - Brigada Abigeato,---mm
2010-12-10,Montoya - Comisaría Nº 20,---mm
2010-12-10,Pajonal,---mm
2010-12-10,Rincón del Nogoyá - Comisaría Nº 17,---mm
2010-12-11,Antelo - Sara de Muzzio,---mm
2010-12-11,Hinojal - Comisaría Nº 23,---mm
2010-12-11,Laguna del Pescado - Brigada Abigeato,---mm
2010-12-11,Montoya - Comisaría Nº 20,---mm
2010-12-11,Pajonal,---mm
2010-12-11,Rincón del Nogoyá - Comisaría Nº 17,---mm
2010-12-12,Antelo - Sara de Muzzio,---mm
2010-12-12,Hinojal - Comisaría Nº 23,---mm
2010-12-12,Laguna del Pescado - Brigada Abigeato,---mm
2010-12-12,Montoya - Comisaría Nº 20,---mm
2010-12-12,Pajonal,---mm
2010-12-12,Rincón del Nogoyá - Comisaría Nº 17,---mm
2010-12-18,Antelo - Sara de Muzzio,15mm
2010-12-18,Hinojal - Comisaría Nº 23,7mm
2010-12-18,Laguna del Pescado - Brigada Abigeato,13mm
2010-12-18,Montoya - Comisaría Nº 20,---mm
2010-12-18,Pajonal,13mm
2010-12-18,Rincón del Nogoyá - Comisaría Nº 17,15mm
2010-12-19,Antelo - Sara de Muzzio,6mm
2010-12-19,Hinojal - Comisaría Nº 23,6mm
2010-12-19,Laguna del Pescado - Brigada Abigeato,10mm
2010-12-19,Montoya - Comisaría Nº 20,---mm
2010-12-19,Pajonal,8mm
2010-12-19,Rincón del Nogoyá - Comisaría Nº 17,8mm
2011-01-25,Antelo - Sara de Muzzio,42mm
2011-01-25,Hinojal - Comisaría Nº 23,36mm
2011-01-25,Laguna del Pescado - Brigada Abigeato,39mm
2011-01-25,Montoya - Comisaría Nº 20,---mm
2011-01-25,Pajonal,33mm
2011-01-25,Rincón del Nogoyá - Comisaría Nº 17,37mm
2011-01-27,Antelo - Sara de Muzzio,---mm
2011-01-27,Hinojal - Comisaría Nº 23,---mm
2011-01-27,Laguna del Pescado - Brigada Abigeato,---mm
2011-01-27,Montoya - Comisaría Nº 20,---mm
2011-01-27,Pajonal,---mm
2011-01-27,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-01-28,Antelo - Sara de Muzzio,---mm
2011-01-28,Hinojal - Comisaría Nº 23,---mm
2011-01-28,Laguna del Pescado - Brigada Abigeato,---mm
2011-01-28,Montoya - Comisaría Nº 20,---mm
2011-01-28,Pajonal,---mm
2011-01-28,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-02-07,Antelo - Sara de Muzzio,20mm
2011-02-07,Hinojal - Comisaría Nº 23,25mm
2011-02-07,Laguna del Pescado - Brigada Abigeato,21mm
2011-02-07,Montoya - Comisaría Nº 20,---mm
2011-02-07,Pajonal,33mm
2011-02-07,Rincón del Nogoyá - Comisaría Nº 17,23mm
2011-02-09,Antelo - Sara de Muzzio,---mm
2011-02-09,Hinojal - Comisaría Nº 23,---mm
2011-02-09,Laguna del Pescado - Brigada Abigeato,---mm
2011-02-09,Montoya - Comisaría Nº 20,---mm
2011-02-09,Pajonal,---mm
2011-02-09,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-02-12,Antelo - Sara de Muzzio,---mm
2011-02-12,Hinojal - Comisaría Nº 23,---mm
2011-02-12,Laguna del Pescado - Brigada Abigeato,---mm
2011-02-12,Montoya - Comisaría Nº 20,---mm
2011-02-12,Pajonal,---mm
2011-02-12,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-02-18,Antelo - Sara de Muzzio,---mm
2011-02-18,Hinojal - Comisaría Nº 23,---mm
2011-02-18,Laguna del Pescado - Brigada Abigeato,---mm
2011-02-18,Montoya - Comisaría Nº 20,---mm
2011-02-18,Pajonal,---mm
2011-02-18,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-02-19,Antelo - Sara de Muzzio,---mm
2011-02-19,Hinojal - Comisaría Nº 23,---mm
2011-02-19,Laguna del Pescado - Brigada Abigeato,---mm
2011-02-19,Montoya - Comisaría Nº 20,---mm
2011-02-19,Pajonal,---mm
2011-02-19,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-02-20,Antelo - Sara de Muzzio,---mm
2011-02-20,Hinojal - Comisaría Nº 23,---mm
2011-02-20,Laguna del Pescado - Brigada Abigeato,---mm
2011-02-20,Montoya - Comisaría Nº 20,---mm
2011-02-20,Pajonal,---mm
2011-02-20,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-02-21,Antelo - Sara de Muzzio,---mm
2011-02-21,Hinojal - Comisaría Nº 23,---mm
2011-02-21,Laguna del Pescado - Brigada Abigeato,---mm
2011-02-21,Montoya - Comisaría Nº 20,---mm
2011-02-21,Pajonal,---mm
2011-02-21,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-02-22,Antelo - Sara de Muzzio,17mm
2011-02-22,Hinojal - Comisaría Nº 23,---mm
2011-02-22,Laguna del Pescado - Brigada Abigeato,10mm
2011-02-22,Montoya - Comisaría Nº 20,---mm
2011-02-22,Pajonal,26mm
2011-02-22,Rincón del Nogoyá - Comisaría Nº 17,12mm
2011-02-23,Antelo - Sara de Muzzio,---mm
2011-02-23,Hinojal - Comisaría Nº 23,---mm
2011-02-23,Laguna del Pescado - Brigada Abigeato,---mm
2011-02-23,Montoya - Comisaría Nº 20,---mm
2011-02-23,Pajonal,---mm
2011-02-23,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-03-12,Antelo - Sara de Muzzio,13mm
2011-03-12,Hinojal - Comisaría Nº 23,2mm
2011-03-12,Laguna del Pescado - Brigada Abigeato,13mm
2011-03-12,Montoya - Comisaría Nº 20,---mm
2011-03-12,Pajonal,10mm
2011-03-12,Rincón del Nogoyá - Comisaría Nº 17,10mm
2011-03-16,Antelo - Sara de Muzzio,---mm
2011-03-16,Hinojal - Comisaría Nº 23,---mm
2011-03-16,Laguna del Pescado - Brigada Abigeato,---mm
2011-03-16,Montoya - Comisaría Nº 20,---mm
2011-03-16,Pajonal,---mm
2011-03-16,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-03-17,Antelo - Sara de Muzzio,2mm
2011-03-17,Hinojal - Comisaría Nº 23,3mm
2011-03-17,Laguna del Pescado - Brigada Abigeato,1mm
2011-03-17,Montoya - Comisaría Nº 20,---mm
2011-03-17,Pajonal,2mm
2011-03-17,Rincón del Nogoyá - Comisaría Nº 17,2mm
2011-03-23,Antelo - Sara de Muzzio,20mm
2011-03-23,Hinojal - Comisaría Nº 23,43mm
2011-03-23,Laguna del Pescado - Brigada Abigeato,30mm
2011-03-23,Montoya - Comisaría Nº 20,---mm
2011-03-23,Pajonal,35mm
2011-03-23,Rincón del Nogoyá - Comisaría Nº 17,42mm
2011-03-24,Antelo - Sara de Muzzio,5mm
2011-03-24,Hinojal - Comisaría Nº 23,0mm
2011-03-24,Laguna del Pescado - Brigada Abigeato,2mm
2011-03-24,Montoya - Comisaría Nº 20,---mm
2011-03-24,Pajonal,25mm
2011-03-24,Rincón del Nogoyá - Comisaría Nº 17,8mm
2011-03-26,Antelo - Sara de Muzzio,---mm
2011-03-26,Hinojal - Comisaría Nº 23,---mm
2011-03-26,Laguna del Pescado - Brigada Abigeato,---mm
2011-03-26,Montoya - Comisaría Nº 20,---mm
2011-03-26,Pajonal,---mm
2011-03-26,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-04-02,Antelo - Sara de Muzzio,2mm
2011-04-02,Hinojal - Comisaría Nº 23,0mm
2011-04-02,Laguna del Pescado - Brigada Abigeato,0mm
2011-04-02,Montoya - Comisaría Nº 20,---mm
2011-04-02,Pajonal,0mm
2011-04-02,Rincón del Nogoyá - Comisaría Nº 17,3mm
2011-04-03,Antelo - Sara de Muzzio,5mm
2011-04-03,Hinojal - Comisaría Nº 23,27mm
2011-04-03,Laguna del Pescado - Brigada Abigeato,3mm
2011-04-03,Montoya - Comisaría Nº 20,---mm
2011-04-03,Pajonal,3mm
2011-04-03,Rincón del Nogoyá - Comisaría Nº 17,6mm
2011-04-13,Antelo - Sara de Muzzio,8mm
2011-04-13,Hinojal - Comisaría Nº 23,17mm
2011-04-13,Laguna del Pescado - Brigada Abigeato,11mm
2011-04-13,Montoya - Comisaría Nº 20,---mm
2011-04-13,Pajonal,24mm
2011-04-13,Rincón del Nogoyá - Comisaría Nº 17,18mm
2011-04-14,Antelo - Sara de Muzzio,---mm
2011-04-14,Hinojal - Comisaría Nº 23,---mm
2011-04-14,Laguna del Pescado - Brigada Abigeato,---mm
2011-04-14,Montoya - Comisaría Nº 20,---mm
2011-04-14,Pajonal,---mm
2011-04-14,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-04-15,Antelo - Sara de Muzzio,---mm
2011-04-15,Hinojal - Comisaría Nº 23,---mm
2011-04-15,Laguna del Pescado - Brigada Abigeato,---mm
2011-04-15,Montoya - Comisaría Nº 20,---mm
2011-04-15,Pajonal,---mm
2011-04-15,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-04-17,Antelo - Sara de Muzzio,---mm
2011-04-17,Hinojal - Comisaría Nº 23,---mm
2011-04-17,Laguna del Pescado - Brigada Abigeato,---mm
2011-04-17,Montoya - Comisaría Nº 20,---mm
2011-04-17,Pajonal,---mm
2011-04-17,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-04-20,Antelo - Sara de Muzzio,30mm
2011-04-20,Hinojal - Comisaría Nº 23,25mm
2011-04-20,Laguna del Pescado - Brigada Abigeato,40mm
2011-04-20,Montoya - Comisaría Nº 20,---mm
2011-04-20,Pajonal,35mm
2011-04-20,Rincón del Nogoyá - Comisaría Nº 17,35mm
2011-04-21,Antelo - Sara de Muzzio,19mm
2011-04-21,Hinojal - Comisaría Nº 23,0mm
2011-04-21,Laguna del Pescado - Brigada Abigeato,7mm
2011-04-21,Montoya - Comisaría Nº 20,---mm
2011-04-21,Pajonal,0mm
2011-04-21,Rincón del Nogoyá - Comisaría Nº 17,5mm
2011-04-29,Antelo - Sara de Muzzio,3mm
2011-04-29,Hinojal - Comisaría Nº 23,10mm
2011-04-29,Laguna del Pescado - Brigada Abigeato,---mm
2011-04-29,Montoya - Comisaría Nº 20,---mm
2011-04-29,Pajonal,30mm
2011-04-29,Rincón del Nogoyá - Comisaría Nº 17,---mm
2011-05-01,Antelo - Sara de Muzzio,5mm
2011-05-01,Hinojal - Comisaría Nº 23,7mm
2011-05-01,Laguna del Pescado - Brigada Abigeato,5mm
2011-05-01,Montoya - Comisaría Nº 20,---mm
2011-05-01,Pajonal,3mm
2011-05-01,Rincón del Nogoyá - Comisaría Nº 17,6mm
2011-05-14,Antelo - Sara de Muzzio,30mm
2011-05-14,Hinojal - Comisaría Nº 23,35mm
2011-05-14,Laguna del Pescado - Brigada Abigeato,36mm
2011-05-14,Montoya - Comisaría Nº 20,---mm
2011-05-14,Pajonal,35mm
2011-05-14,Rincón del Nogoyá - Comisaría Nº 17,13mm
2011-05-15,Antelo - Sara de Muzzio,---mm
2011-05-15,Hinojal - Comisaría Nº 23,---mm
2011-05-15,Laguna del Pescado - Brigada Abigeato,---mm
2011-05-15,Montoya - Comisaría Nº 20,---mm
2011-05-15,Pajonal,---mm
