fecha,Estación,Precipitación
2010-09-02,Ingeniero Sajaroff - Subcomisaría,6mm
2010-09-02,Lucas Norte - Subcomisaría,---mm
2010-09-02,Lucas Sur I - Subcomisaría,3mm
2010-09-02,Mojones Norte - Comisaría Nº 22,5mm
2010-09-02,Mojones Sur I - Comisaría Nº 27,2mm
2010-09-02,Paso de La Laguna - Raíces Oeste,---mm
2010-09-02,Raíces Oeste - Comisaría Nº 29,14mm
2010-09-02,Villa Clara - Comisaría,9mm
2010-09-02,Villa Dominguez - Comisaría,5mm
2010-09-10,Ingeniero Sajaroff - Subcomisaría,---mm
2010-09-10,Lucas Norte - Subcomisaría,---mm
2010-09-10,Lucas Sur I - Subcomisaría,---mm
2010-09-10,Mojones Norte - Comisaría Nº 22,6mm
2010-09-10,Mojones Sur I - Comisaría Nº 27,8mm
2010-09-10,Paso de La Laguna - Raíces Oeste,---mm
2010-09-10,Raíces Oeste - Comisaría Nº 29,14mm
2010-09-10,Villa Clara - Comisaría,13mm
2010-09-10,Villa Dominguez - Comisaría,8mm
2010-09-11,Ingeniero Sajaroff - Subcomisaría,0mm
2010-09-11,Lucas Norte - Subcomisaría,0mm
2010-09-11,Lucas Sur I - Subcomisaría,0mm
2010-09-11,Mojones Norte - Comisaría Nº 22,0mm
2010-09-11,Mojones Sur I - Comisaría Nº 27,0mm
2010-09-11,Paso de La Laguna - Raíces Oeste,0mm
2010-09-11,Raíces Oeste - Comisaría Nº 29,0mm
2010-09-11,Villa Clara - Comisaría,0mm
2010-09-11,Villa Dominguez - Comisaría,0mm
2010-09-13,Ingeniero Sajaroff - Subcomisaría,17mm
2010-09-13,Lucas Norte - Subcomisaría,26mm
2010-09-13,Lucas Sur I - Subcomisaría,---mm
2010-09-13,Mojones Norte - Comisaría Nº 22,9mm
2010-09-13,Mojones Sur I - Comisaría Nº 27,6mm
2010-09-13,Paso de La Laguna - Raíces Oeste,---mm
2010-09-13,Raíces Oeste - Comisaría Nº 29,2mm
2010-09-13,Villa Clara - Comisaría,11mm
2010-09-13,Villa Dominguez - Comisaría,12mm
2010-09-21,Ingeniero Sajaroff - Subcomisaría,---mm
2010-09-21,Lucas Norte - Subcomisaría,---mm
2010-09-21,Lucas Sur I - Subcomisaría,---mm
2010-09-21,Mojones Norte - Comisaría Nº 22,---mm
2010-09-21,Mojones Sur I - Comisaría Nº 27,---mm
2010-09-21,Paso de La Laguna - Raíces Oeste,---mm
2010-09-21,Raíces Oeste - Comisaría Nº 29,---mm
2010-09-21,Villa Clara - Comisaría,---mm
